"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2025 00:00:00 - 01/01/2025 00:15:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 00:15:00 - 01/01/2025 00:30:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 00:30:00 - 01/01/2025 00:45:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 00:45:00 - 01/01/2025 01:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 01:00:00 - 01/01/2025 01:15:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 01:15:00 - 01/01/2025 01:30:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 01:30:00 - 01/01/2025 01:45:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 01:45:00 - 01/01/2025 02:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 02:00:00 - 01/01/2025 02:15:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 02:15:00 - 01/01/2025 02:30:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 02:30:00 - 01/01/2025 02:45:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 02:45:00 - 01/01/2025 03:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 03:00:00 - 01/01/2025 03:15:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 03:15:00 - 01/01/2025 03:30:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 03:30:00 - 01/01/2025 03:45:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 03:45:00 - 01/01/2025 04:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 04:00:00 - 01/01/2025 04:15:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 04:15:00 - 01/01/2025 04:30:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 04:30:00 - 01/01/2025 04:45:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 04:45:00 - 01/01/2025 05:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 05:00:00 - 01/01/2025 05:15:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 05:15:00 - 01/01/2025 05:30:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 05:30:00 - 01/01/2025 05:45:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 05:45:00 - 01/01/2025 06:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 06:00:00 - 01/01/2025 06:15:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 06:15:00 - 01/01/2025 06:30:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 06:30:00 - 01/01/2025 06:45:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 06:45:00 - 01/01/2025 07:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 07:00:00 - 01/01/2025 07:15:00","BZN|PL","8.10","0.83","3.80","0.00"
"01/01/2025 07:15:00 - 01/01/2025 07:30:00","BZN|PL","22.93","2.88","5.96","2.05"
"01/01/2025 07:30:00 - 01/01/2025 07:45:00","BZN|PL","51.43","5.60","19.95","21.14"
"01/01/2025 07:45:00 - 01/01/2025 08:00:00","BZN|PL","114.56","66.32","66.32","57.07"
"01/01/2025 08:00:00 - 01/01/2025 08:15:00","BZN|PL","229.74","184.87","184.87","144.86"
"01/01/2025 08:15:00 - 01/01/2025 08:30:00","BZN|PL","393.19","355.89","355.89","303.12"
"01/01/2025 08:30:00 - 01/01/2025 08:45:00","BZN|PL","592.88","567.38","567.38","513.84"
"01/01/2025 08:45:00 - 01/01/2025 09:00:00","BZN|PL","817.64","802.99","727.72","747.31"
"01/01/2025 09:00:00 - 01/01/2025 09:15:00","BZN|PL","1066.67","1056.71","976.27","916.95"
"01/01/2025 09:15:00 - 01/01/2025 09:30:00","BZN|PL","1360.37","1347.82","1268.68","1114.79"
"01/01/2025 09:30:00 - 01/01/2025 09:45:00","BZN|PL","1670.40","1654.80","1577.28","1218.26"
"01/01/2025 09:45:00 - 01/01/2025 10:00:00","BZN|PL","1955.53","1944.40","1672.18","1375.80"
"01/01/2025 10:00:00 - 01/01/2025 10:15:00","BZN|PL","2185.03","2194.32","1917.09","1481.63"
"01/01/2025 10:15:00 - 01/01/2025 10:30:00","BZN|PL","2374.06","2422.12","2151.57","1590.89"
"01/01/2025 10:30:00 - 01/01/2025 10:45:00","BZN|PL","2531.69","2625.01","2362.77","1665.74"
"01/01/2025 10:45:00 - 01/01/2025 11:00:00","BZN|PL","2660.15","2791.06","2101.97","1688.77"
"01/01/2025 11:00:00 - 01/01/2025 11:15:00","BZN|PL","2762.26","2910.88","2228.98","1768.54"
"01/01/2025 11:15:00 - 01/01/2025 11:30:00","BZN|PL","2839.66","2987.86","2322.50","1849.88"
"01/01/2025 11:30:00 - 01/01/2025 11:45:00","BZN|PL","2887.18","3021.10","2382.86","1845.72"
"01/01/2025 11:45:00 - 01/01/2025 12:00:00","BZN|PL","2890.16","3021.10","1870.34","1807.88"
"01/01/2025 12:00:00 - 01/01/2025 12:15:00","BZN|PL","2866.96","3001.35","1877.68","1729.68"
"01/01/2025 12:15:00 - 01/01/2025 12:30:00","BZN|PL","2792.63","2939.31","1877.68","1668.00"
"01/01/2025 12:30:00 - 01/01/2025 12:45:00","BZN|PL","2682.13","2842.55","1871.65","1552.99"
"01/01/2025 12:45:00 - 01/01/2025 13:00:00","BZN|PL","2543.04","2709.80","1618.43","1478.67"
"01/01/2025 13:00:00 - 01/01/2025 13:15:00","BZN|PL","2378.34","2536.20","1510.14","1284.49"
"01/01/2025 13:15:00 - 01/01/2025 13:30:00","BZN|PL","2179.33","2313.85","1365.79","1200.12"
"01/01/2025 13:30:00 - 01/01/2025 13:45:00","BZN|PL","1955.47","2058.89","1200.76","1054.78"
"01/01/2025 13:45:00 - 01/01/2025 14:00:00","BZN|PL","1721.42","1793.00","1013.02","912.72"
"01/01/2025 14:00:00 - 01/01/2025 14:15:00","BZN|PL","1483.84","1526.79","859.81","803.75"
"01/01/2025 14:15:00 - 01/01/2025 14:30:00","BZN|PL","1228.11","1240.39","699.25","657.18"
"01/01/2025 14:30:00 - 01/01/2025 14:45:00","BZN|PL","968.47","951.57","540.73","480.82"
"01/01/2025 14:45:00 - 01/01/2025 15:00:00","BZN|PL","727.84","689.79","411.38","303.36"
"01/01/2025 15:00:00 - 01/01/2025 15:15:00","BZN|PL","520.96","476.20","288.69","208.28"
"01/01/2025 15:15:00 - 01/01/2025 15:30:00","BZN|PL","334.29","298.18","181.91","120.30"
"01/01/2025 15:30:00 - 01/01/2025 15:45:00","BZN|PL","172.44","152.61","93.29","82.66"
"01/01/2025 15:45:00 - 01/01/2025 16:00:00","BZN|PL","47.33","42.49","29.48","50.01"
"01/01/2025 16:00:00 - 01/01/2025 16:15:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 16:15:00 - 01/01/2025 16:30:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 16:30:00 - 01/01/2025 16:45:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 16:45:00 - 01/01/2025 17:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 17:00:00 - 01/01/2025 17:15:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 17:15:00 - 01/01/2025 17:30:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 17:30:00 - 01/01/2025 17:45:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 17:45:00 - 01/01/2025 18:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 18:00:00 - 01/01/2025 18:15:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 18:15:00 - 01/01/2025 18:30:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 18:30:00 - 01/01/2025 18:45:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 18:45:00 - 01/01/2025 19:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 19:00:00 - 01/01/2025 19:15:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 19:15:00 - 01/01/2025 19:30:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 19:30:00 - 01/01/2025 19:45:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 19:45:00 - 01/01/2025 20:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 20:00:00 - 01/01/2025 20:15:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 20:15:00 - 01/01/2025 20:30:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 20:30:00 - 01/01/2025 20:45:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 20:45:00 - 01/01/2025 21:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 21:00:00 - 01/01/2025 21:15:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 21:15:00 - 01/01/2025 21:30:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 21:30:00 - 01/01/2025 21:45:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 21:45:00 - 01/01/2025 22:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 22:00:00 - 01/01/2025 22:15:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 22:15:00 - 01/01/2025 22:30:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 22:30:00 - 01/01/2025 22:45:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 22:45:00 - 01/01/2025 23:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 23:00:00 - 01/01/2025 23:15:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 23:15:00 - 01/01/2025 23:30:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 23:30:00 - 01/01/2025 23:45:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2025 23:45:00 - 02/01/2025 00:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"02/01/2025 00:00:00 - 02/01/2025 00:15:00","BZN|PL","0.00","0.00","0.00","0.00"
"02/01/2025 00:15:00 - 02/01/2025 00:30:00","BZN|PL","0.00","0.00","0.00","0.00"
"02/01/2025 00:30:00 - 02/01/2025 00:45:00","BZN|PL","0.00","0.00","0.00","0.00"
"02/01/2025 00:45:00 - 02/01/2025 01:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"02/01/2025 01:00:00 - 02/01/2025 01:15:00","BZN|PL","0.00","0.00","0.00","0.00"
"02/01/2025 01:15:00 - 02/01/2025 01:30:00","BZN|PL","0.00","0.00","0.00","0.00"
"02/01/2025 01:30:00 - 02/01/2025 01:45:00","BZN|PL","0.00","0.00","0.00","0.00"
"02/01/2025 01:45:00 - 02/01/2025 02:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"02/01/2025 02:00:00 - 02/01/2025 02:15:00","BZN|PL","0.00","0.00","0.00","0.00"
"02/01/2025 02:15:00 - 02/01/2025 02:30:00","BZN|PL","0.00","0.00","0.00","0.00"
"02/01/2025 02:30:00 - 02/01/2025 02:45:00","BZN|PL","0.00","0.00","0.00","0.00"
"02/01/2025 02:45:00 - 02/01/2025 03:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"02/01/2025 03:00:00 - 02/01/2025 03:15:00","BZN|PL","0.00","0.00","0.00","0.00"
"02/01/2025 03:15:00 - 02/01/2025 03:30:00","BZN|PL","0.00","0.00","0.00","0.00"
"02/01/2025 03:30:00 - 02/01/2025 03:45:00","BZN|PL","0.00","0.00","0.00","0.00"
"02/01/2025 03:45:00 - 02/01/2025 04:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"02/01/2025 04:00:00 - 02/01/2025 04:15:00","BZN|PL","0.00","0.00","0.00","0.00"
"02/01/2025 04:15:00 - 02/01/2025 04:30:00","BZN|PL","0.00","0.00","0.00","0.00"
"02/01/2025 04:30:00 - 02/01/2025 04:45:00","BZN|PL","0.00","0.00","0.00","0.00"
"02/01/2025 04:45:00 - 02/01/2025 05:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"02/01/2025 05:00:00 - 02/01/2025 05:15:00","BZN|PL","0.00","0.00","0.00","0.00"
"02/01/2025 05:15:00 - 02/01/2025 05:30:00","BZN|PL","0.00","0.00","0.00","0.00"
"02/01/2025 05:30:00 - 02/01/2025 05:45:00","BZN|PL","0.00","0.00","0.00","0.00"
"02/01/2025 05:45:00 - 02/01/2025 06:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"02/01/2025 06:00:00 - 02/01/2025 06:15:00","BZN|PL","0.00","0.00","0.00","0.00"
"02/01/2025 06:15:00 - 02/01/2025 06:30:00","BZN|PL","0.00","0.00","0.00","0.00"
"02/01/2025 06:30:00 - 02/01/2025 06:45:00","BZN|PL","0.00","0.00","0.00","0.00"
"02/01/2025 06:45:00 - 02/01/2025 07:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"02/01/2025 07:00:00 - 02/01/2025 07:15:00","BZN|PL","6.16","0.80","4.62","0.58"
"02/01/2025 07:15:00 - 02/01/2025 07:30:00","BZN|PL","17.63","2.69","11.33","4.54"
"02/01/2025 07:30:00 - 02/01/2025 07:45:00","BZN|PL","39.31","12.13","27.80","19.00"
"02/01/2025 07:45:00 - 02/01/2025 08:00:00","BZN|PL","86.58","70.81","70.81","50.32"
"02/01/2025 08:00:00 - 02/01/2025 08:15:00","BZN|PL","173.17","164.57","164.57","173.72"
"02/01/2025 08:15:00 - 02/01/2025 08:30:00","BZN|PL","298.39","302.06","302.06","182.58"
"02/01/2025 08:30:00 - 02/01/2025 08:45:00","BZN|PL","449.49","466.90","466.90","243.88"
