"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|PL","0.00","0.00","0.00","20.90"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|PL","94.75","94.67","76.04","152.70"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|PL","428.22","413.55","350.86","329.04"
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|PL","684.13","693.81","620.99","552.80"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|PL","883.00","883.13","780.63","781.86"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|PL","830.58","847.97","773.69","915.56"
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|PL","687.36","683.69","688.57","888.96"
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|PL","478.67","438.11","497.39","560.86"
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|PL","63.64","64.38","64.21","242.26"
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|PL","0.00","0.00","0.00","20.30"
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","BZN|PL","0.00","0.00","0.00","0.00"
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","BZN|PL","0.00","0.00","0.00","0.00"
