"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2025 00:00:00 - 01/01/2025 00:15:00","BZN|HU","0.00","0.00","0.00","0.09"
"01/01/2025 00:15:00 - 01/01/2025 00:30:00","BZN|HU","0.00","0.00","0.00","0.02"
"01/01/2025 00:30:00 - 01/01/2025 00:45:00","BZN|HU","0.00","0.00","0.00","0.04"
"01/01/2025 00:45:00 - 01/01/2025 01:00:00","BZN|HU","0.00","0.00","0.00","0.03"
"01/01/2025 01:00:00 - 01/01/2025 01:15:00","BZN|HU","0.00","0.00","0.00","4.85"
"01/01/2025 01:15:00 - 01/01/2025 01:30:00","BZN|HU","0.00","0.00","0.00","6.29"
"01/01/2025 01:30:00 - 01/01/2025 01:45:00","BZN|HU","0.00","0.00","0.00","0.32"
"01/01/2025 01:45:00 - 01/01/2025 02:00:00","BZN|HU","0.00","0.00","0.00","0.03"
"01/01/2025 02:00:00 - 01/01/2025 02:15:00","BZN|HU","0.00","0.00","0.00","2.70"
"01/01/2025 02:15:00 - 01/01/2025 02:30:00","BZN|HU","0.00","0.00","0.00","0.03"
"01/01/2025 02:30:00 - 01/01/2025 02:45:00","BZN|HU","0.00","0.00","0.00","0.02"
"01/01/2025 02:45:00 - 01/01/2025 03:00:00","BZN|HU","0.00","0.00","0.00","0.02"
"01/01/2025 03:00:00 - 01/01/2025 03:15:00","BZN|HU","0.00","0.00","0.00","0.02"
"01/01/2025 03:15:00 - 01/01/2025 03:30:00","BZN|HU","0.00","0.00","0.00","0.03"
"01/01/2025 03:30:00 - 01/01/2025 03:45:00","BZN|HU","0.00","0.00","0.00","0.02"
"01/01/2025 03:45:00 - 01/01/2025 04:00:00","BZN|HU","0.00","0.00","0.00","0.02"
"01/01/2025 04:00:00 - 01/01/2025 04:15:00","BZN|HU","0.00","0.00","0.00","0.02"
"01/01/2025 04:15:00 - 01/01/2025 04:30:00","BZN|HU","0.00","0.00","0.00","0.02"
"01/01/2025 04:30:00 - 01/01/2025 04:45:00","BZN|HU","0.00","0.00","0.00","0.02"
"01/01/2025 04:45:00 - 01/01/2025 05:00:00","BZN|HU","0.00","0.00","0.00","0.02"
"01/01/2025 05:00:00 - 01/01/2025 05:15:00","BZN|HU","0.00","0.00","0.00","0.03"
"01/01/2025 05:15:00 - 01/01/2025 05:30:00","BZN|HU","0.00","0.00","0.00","0.02"
"01/01/2025 05:30:00 - 01/01/2025 05:45:00","BZN|HU","0.00","0.00","0.00","0.02"
"01/01/2025 05:45:00 - 01/01/2025 06:00:00","BZN|HU","0.00","0.00","0.00","0.02"
"01/01/2025 06:00:00 - 01/01/2025 06:15:00","BZN|HU","0.00","0.00","0.00","0.02"
"01/01/2025 06:15:00 - 01/01/2025 06:30:00","BZN|HU","0.00","0.00","0.00","0.02"
"01/01/2025 06:30:00 - 01/01/2025 06:45:00","BZN|HU","0.00","0.00","0.00","0.03"
"01/01/2025 06:45:00 - 01/01/2025 07:00:00","BZN|HU","0.00","0.00","0.00","0.03"
"01/01/2025 07:00:00 - 01/01/2025 07:15:00","BZN|HU","15.74","16.67","15.56","0.02"
"01/01/2025 07:15:00 - 01/01/2025 07:30:00","BZN|HU","24.29","25.90","24.80","0.04"
"01/01/2025 07:30:00 - 01/01/2025 07:45:00","BZN|HU","36.88","33.29","32.87","1.49"
"01/01/2025 07:45:00 - 01/01/2025 08:00:00","BZN|HU","63.31","62.94","61.90","12.17"
"01/01/2025 08:00:00 - 01/01/2025 08:15:00","BZN|HU","97.00","104.07","120.24","31.36"
"01/01/2025 08:15:00 - 01/01/2025 08:30:00","BZN|HU","145.80","162.25","166.74","55.74"
"01/01/2025 08:30:00 - 01/01/2025 08:45:00","BZN|HU","207.06","226.11","228.27","77.45"
