"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2024 00:00 - 01/01/2024 01:00","BZN|PL","14097.63","14899.00"
"01/01/2024 01:00 - 01/01/2024 02:00","BZN|PL","13695.19","14425.00"
"01/01/2024 02:00 - 01/01/2024 03:00","BZN|PL","13190.86","13744.00"
"01/01/2024 03:00 - 01/01/2024 04:00","BZN|PL","12752.41","13363.00"
"01/01/2024 04:00 - 01/01/2024 05:00","BZN|PL","12708.30","13181.00"
"01/01/2024 05:00 - 01/01/2024 06:00","BZN|PL","12810.55","13195.00"
"01/01/2024 06:00 - 01/01/2024 07:00","BZN|PL","13031.38","13452.00"
"01/01/2024 07:00 - 01/01/2024 08:00","BZN|PL","13042.59","13408.00"
"01/01/2024 08:00 - 01/01/2024 09:00","BZN|PL","13265.00","13502.00"
"01/01/2024 09:00 - 01/01/2024 10:00","BZN|PL","13970.26","14225.00"
"01/01/2024 10:00 - 01/01/2024 11:00","BZN|PL","14833.45","14794.00"
"01/01/2024 11:00 - 01/01/2024 12:00","BZN|PL","15593.63","15324.00"
"01/01/2024 12:00 - 01/01/2024 13:00","BZN|PL","16178.48","15830.00"
"01/01/2024 13:00 - 01/01/2024 14:00","BZN|PL","16679.21","16037.00"
"01/01/2024 14:00 - 01/01/2024 15:00","BZN|PL","16669.61","16054.00"
"01/01/2024 15:00 - 01/01/2024 16:00","BZN|PL","16752.64","16743.00"
"01/01/2024 16:00 - 01/01/2024 17:00","BZN|PL","17333.63","17681.00"
"01/01/2024 17:00 - 01/01/2024 18:00","BZN|PL","17323.30","17711.00"
"01/01/2024 18:00 - 01/01/2024 19:00","BZN|PL","17262.66","17693.00"
"01/01/2024 19:00 - 01/01/2024 20:00","BZN|PL","17301.56","17677.00"
"01/01/2024 20:00 - 01/01/2024 21:00","BZN|PL","17014.40","17515.00"
"01/01/2024 21:00 - 01/01/2024 22:00","BZN|PL","16213.79","16708.00"
"01/01/2024 22:00 - 01/01/2024 23:00","BZN|PL","15424.54","16058.00"
"01/01/2024 23:00 - 02/01/2024 00:00","BZN|PL","14435.16","15116.00"
"02/01/2024 00:00 - 02/01/2024 01:00","BZN|PL","13653.49","14309.00"
"02/01/2024 01:00 - 02/01/2024 02:00","BZN|PL","13216.51","13818.00"
"02/01/2024 02:00 - 02/01/2024 03:00","BZN|PL","12978.10","13579.00"
"02/01/2024 03:00 - 02/01/2024 04:00","BZN|PL","13100.90","13693.00"
"02/01/2024 04:00 - 02/01/2024 05:00","BZN|PL","13510.31","14310.00"
"02/01/2024 05:00 - 02/01/2024 06:00","BZN|PL","14635.70","16278.00"
"02/01/2024 06:00 - 02/01/2024 07:00","BZN|PL","17228.64","19343.00"
"02/01/2024 07:00 - 02/01/2024 08:00","BZN|PL","19191.15","20600.00"
"02/01/2024 08:00 - 02/01/2024 09:00","BZN|PL","20306.69","21710.00"
"02/01/2024 09:00 - 02/01/2024 10:00","BZN|PL","21046.26","21990.00"
"02/01/2024 10:00 - 02/01/2024 11:00","BZN|PL","21249.06","22331.00"
"02/01/2024 11:00 - 02/01/2024 12:00","BZN|PL","21560.73","22296.00"
"02/01/2024 12:00 - 02/01/2024 13:00","BZN|PL","21724.68","22551.00"
"02/01/2024 13:00 - 02/01/2024 14:00","BZN|PL","22047.83","22821.00"
"02/01/2024 14:00 - 02/01/2024 15:00","BZN|PL","21734.26","22440.00"
"02/01/2024 15:00 - 02/01/2024 16:00","BZN|PL","21876.73","22953.00"
"02/01/2024 16:00 - 02/01/2024 17:00","BZN|PL","22418.94","23407.00"
"02/01/2024 17:00 - 02/01/2024 18:00","BZN|PL","22289.95","23208.00"
"02/01/2024 18:00 - 02/01/2024 19:00","BZN|PL","21948.50","22820.00"
"02/01/2024 19:00 - 02/01/2024 20:00","BZN|PL","21704.54","22645.00"
"02/01/2024 20:00 - 02/01/2024 21:00","BZN|PL","21113.13","22228.00"
"02/01/2024 21:00 - 02/01/2024 22:00","BZN|PL","19855.46","21113.00"
"02/01/2024 22:00 - 02/01/2024 23:00","BZN|PL","18607.43","19494.00"
"02/01/2024 23:00 - 03/01/2024 00:00","BZN|PL","17226.25","18173.00"
"03/01/2024 00:00 - 03/01/2024 01:00","BZN|PL","16156.63","16729.00"
"03/01/2024 01:00 - 03/01/2024 02:00","BZN|PL","15545.88","16069.00"
"03/01/2024 02:00 - 03/01/2024 03:00","BZN|PL","15404.75","15761.00"
"03/01/2024 03:00 - 03/01/2024 04:00","BZN|PL","15332.56","15806.00"
"03/01/2024 04:00 - 03/01/2024 05:00","BZN|PL","15769.39","16348.00"
"03/01/2024 05:00 - 03/01/2024 06:00","BZN|PL","16799.60","17744.00"
"03/01/2024 06:00 - 03/01/2024 07:00","BZN|PL","19403.93","20891.00"
"03/01/2024 07:00 - 03/01/2024 08:00","BZN|PL","21485.38","22040.00"
"03/01/2024 08:00 - 03/01/2024 09:00","BZN|PL","22722.25","22860.00"
