"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2023 12:45:00 - 01/01/2023 13:00:00","BZN|HU","9.19","10.12","10.12","6.52"
"01/01/2023 13:00:00 - 01/01/2023 13:15:00","BZN|HU","8.61","9.18","9.18","3.49"
"01/01/2023 13:15:00 - 01/01/2023 13:30:00","BZN|HU","8.30","8.50","8.50","2.61"
"01/01/2023 13:30:00 - 01/01/2023 13:45:00","BZN|HU","8.00","8.16","8.16","2.29"
"01/01/2023 13:45:00 - 01/01/2023 14:00:00","BZN|HU","7.69","7.84","7.84","4.95"
"01/01/2023 14:00:00 - 01/01/2023 14:15:00","BZN|HU","7.42","7.71","7.71","8.32"
"01/01/2023 14:15:00 - 01/01/2023 14:30:00","BZN|HU","7.19","3.03","3.03","7.60"
"01/01/2023 14:30:00 - 01/01/2023 14:45:00","BZN|HU","6.97","3.66","3.66","8.86"
"01/01/2023 14:45:00 - 01/01/2023 15:00:00","BZN|HU","6.74","4.29","4.29","10.54"
"01/01/2023 15:00:00 - 01/01/2023 15:15:00","BZN|HU","6.49","4.75","4.75","11.65"
"01/01/2023 15:15:00 - 01/01/2023 15:30:00","BZN|HU","6.22","8.32","8.32","14.19"
"01/01/2023 15:30:00 - 01/01/2023 15:45:00","BZN|HU","5.94","8.26","8.26","14.65"
"01/01/2023 15:45:00 - 01/01/2023 16:00:00","BZN|HU","5.67","8.19","8.19","15.64"
"01/01/2023 16:00:00 - 01/01/2023 16:15:00","BZN|HU","5.48","8.17","8.17","17.64"
"01/01/2023 16:15:00 - 01/01/2023 16:30:00","BZN|HU","5.36","11.90","11.90","17.56"
"01/01/2023 16:30:00 - 01/01/2023 16:45:00","BZN|HU","5.24","12.02","12.02","16.13"
"01/01/2023 16:45:00 - 01/01/2023 17:00:00","BZN|HU","5.13","11.60","11.60","20.01"
"01/01/2023 17:00:00 - 01/01/2023 17:15:00","BZN|HU","5.17","11.54","11.54","21.64"
"01/01/2023 17:15:00 - 01/01/2023 17:30:00","BZN|HU","5.36","12.85","12.85","20.51"
"01/01/2023 17:30:00 - 01/01/2023 17:45:00","BZN|HU","5.56","13.26","13.26","22.95"
"01/01/2023 17:45:00 - 01/01/2023 18:00:00","BZN|HU","5.76","13.47","13.47","27.01"
"01/01/2023 18:00:00 - 01/01/2023 18:15:00","BZN|HU","6.08","14.12","14.12","27.58"
"01/01/2023 18:15:00 - 01/01/2023 18:30:00","BZN|HU","6.54","19.50","19.50","31.30"
"01/01/2023 18:30:00 - 01/01/2023 18:45:00","BZN|HU","6.99","18.73","18.73","32.64"
"01/01/2023 18:45:00 - 01/01/2023 19:00:00","BZN|HU","7.44","17.93","17.93","29.47"
"01/01/2023 19:00:00 - 01/01/2023 19:15:00","BZN|HU","7.71","17.60","17.60","23.41"
"01/01/2023 19:15:00 - 01/01/2023 19:30:00","BZN|HU","7.78","25.56","25.56","22.48"
"01/01/2023 19:30:00 - 01/01/2023 19:45:00","BZN|HU","7.85","23.98","23.98","26.07"
"01/01/2023 19:45:00 - 01/01/2023 20:00:00","BZN|HU","7.93","22.40","22.40","31.69"
"01/01/2023 20:00:00 - 01/01/2023 20:15:00","BZN|HU","8.02","21.37","21.37","36.58"
"01/01/2023 20:15:00 - 01/01/2023 20:30:00","BZN|HU","8.14","21.12","21.12","37.82"
"01/01/2023 20:30:00 - 01/01/2023 20:45:00","BZN|HU","8.26","20.66","20.66","34.07"
"01/01/2023 20:45:00 - 01/01/2023 21:00:00","BZN|HU","8.38","20.20","20.20","30.64"
"01/01/2023 21:00:00 - 01/01/2023 21:15:00","BZN|HU","8.54","19.45","19.45","28.07"
"01/01/2023 21:15:00 - 01/01/2023 21:30:00","BZN|HU","8.73","25.81","25.81","29.20"
"01/01/2023 21:30:00 - 01/01/2023 21:45:00","BZN|HU","8.92","23.82","23.82","26.96"
"01/01/2023 21:45:00 - 01/01/2023 22:00:00","BZN|HU","9.12","21.83","21.83","26.06"
"01/01/2023 22:00:00 - 01/01/2023 22:15:00","BZN|HU","9.33","20.52","20.52","27.17"
"01/01/2023 22:15:00 - 01/01/2023 22:30:00","BZN|HU","9.58","19.72","19.72","30.60"
"01/01/2023 22:30:00 - 01/01/2023 22:45:00","BZN|HU","9.82","18.76","18.76","31.07"
"01/01/2023 22:45:00 - 01/01/2023 23:00:00","BZN|HU","10.06","17.80","17.80","30.32"
"01/01/2023 23:00:00 - 01/01/2023 23:15:00","BZN|HU","10.44","17.19","17.19","29.70"
"01/01/2023 23:15:00 - 01/01/2023 23:30:00","BZN|HU","10.97","16.92","16.92","24.57"
"01/01/2023 23:30:00 - 01/01/2023 23:45:00","BZN|HU","11.50","16.65","16.65","23.56"
"01/01/2023 23:45:00 - 02/01/2023 00:00:00","BZN|HU","12.03","16.38","16.38","18.22"
"02/01/2023 00:00:00 - 02/01/2023 00:15:00","BZN|HU","16.21","21.97","21.97","14.79"
"02/01/2023 00:15:00 - 02/01/2023 00:30:00","BZN|HU","16.13","19.34","19.34","14.96"
"02/01/2023 00:30:00 - 02/01/2023 00:45:00","BZN|HU","16.06","19.09","19.09","12.56"
"02/01/2023 00:45:00 - 02/01/2023 01:00:00","BZN|HU","15.99","18.84","18.84","10.10"
"02/01/2023 01:00:00 - 02/01/2023 01:15:00","BZN|HU","16.26","18.83","18.83","8.86"
"02/01/2023 01:15:00 - 02/01/2023 01:30:00","BZN|HU","16.87","14.28","14.28","7.60"
"02/01/2023 01:30:00 - 02/01/2023 01:45:00","BZN|HU","17.49","15.92","15.92","5.71"
"02/01/2023 01:45:00 - 02/01/2023 02:00:00","BZN|HU","18.10","17.56","17.56","4.98"
"02/01/2023 02:00:00 - 02/01/2023 02:15:00","BZN|HU","18.68","18.84","18.84","7.71"
"02/01/2023 02:15:00 - 02/01/2023 02:30:00","BZN|HU","19.22","10.83","10.83","13.70"
"02/01/2023 02:30:00 - 02/01/2023 02:45:00","BZN|HU","19.76","12.60","12.60","19.81"
"02/01/2023 02:45:00 - 02/01/2023 03:00:00","BZN|HU","20.30","14.37","14.37","22.48"
"02/01/2023 03:00:00 - 02/01/2023 03:15:00","BZN|HU","20.91","15.82","15.82","24.96"
