method,rmse_mean,diff_mean,ci_low,ci_high,p_value,effect_size_d,p_corrected,significant,improvement_%
Synth LGBM,23.6713,-5.3276,-6.5764,-4.0789,1.09e-07,-2.194,2.18e-07,True,18.37
Spline,23.597,-5.4019,-6.5986,-4.2053,5.05e-08,-2.321,1.51e-07,True,18.63
Intra,24.31,-4.6889,-5.9856,-3.3923,9.60e-07,-1.859,9.60e-07,True,16.17
