method,mae_mean,diff_mean,ci_low,ci_high,p_value,effect_size_d,p_corrected,significant,improvement_%
Synth LGBM,15.5748,-3.6325,-4.5799,-2.6851,2.41e-06,-2.317,6.97e-06,True,18.91
Spline,15.8215,-3.3858,-4.2659,-2.5057,2.32e-06,-2.325,6.97e-06,True,17.63
Intra,15.876,-3.3313,-4.2673,-2.3953,5.16e-06,-2.151,6.97e-06,True,17.34
