"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|HU","Without Sequence","19.76","",""
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|HU","Without Sequence","0.19","",""
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|HU","Without Sequence","0.07","",""
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|HU","Without Sequence","0.01","",""
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|HU","Without Sequence","-0.77","",""
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|HU","Without Sequence","0.01","",""
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|HU","Without Sequence","-2.56","",""
"01/01/2023 07:00:00 - 01/01/2023 08:00:00","BZN|HU","Without Sequence","0.02","",""
"01/01/2023 08:00:00 - 01/01/2023 09:00:00","BZN|HU","Without Sequence","0.30","",""
"01/01/2023 09:00:00 - 01/01/2023 10:00:00","BZN|HU","Without Sequence","0.95","",""
"01/01/2023 10:00:00 - 01/01/2023 11:00:00","BZN|HU","Without Sequence","1.60","",""
"01/01/2023 11:00:00 - 01/01/2023 12:00:00","BZN|HU","Without Sequence","2.32","",""
"01/01/2023 12:00:00 - 01/01/2023 13:00:00","BZN|HU","Without Sequence","2.43","",""
"01/01/2023 13:00:00 - 01/01/2023 14:00:00","BZN|HU","Without Sequence","2.56","",""
"01/01/2023 14:00:00 - 01/01/2023 15:00:00","BZN|HU","Without Sequence","9.96","",""
"01/01/2023 15:00:00 - 01/01/2023 16:00:00","BZN|HU","Without Sequence","23.87","",""
"01/01/2023 16:00:00 - 01/01/2023 17:00:00","BZN|HU","Without Sequence","36.54","",""
"01/01/2023 17:00:00 - 01/01/2023 18:00:00","BZN|HU","Without Sequence","46.03","",""
"01/01/2023 18:00:00 - 01/01/2023 19:00:00","BZN|HU","Without Sequence","53.35","",""
"01/01/2023 19:00:00 - 01/01/2023 20:00:00","BZN|HU","Without Sequence","54.95","",""
"01/01/2023 20:00:00 - 01/01/2023 21:00:00","BZN|HU","Without Sequence","49.08","",""
"01/01/2023 21:00:00 - 01/01/2023 22:00:00","BZN|HU","Without Sequence","44.32","",""
"01/01/2023 22:00:00 - 01/01/2023 23:00:00","BZN|HU","Without Sequence","45.96","",""
"01/01/2023 23:00:00 - 02/01/2023 00:00:00","BZN|HU","Without Sequence","35.00","",""
"02/01/2023 00:00:00 - 02/01/2023 01:00:00","BZN|HU","Without Sequence","66.75","",""
"02/01/2023 01:00:00 - 02/01/2023 02:00:00","BZN|HU","Without Sequence","59.31","",""
"02/01/2023 02:00:00 - 02/01/2023 03:00:00","BZN|HU","Without Sequence","52.93","",""
"02/01/2023 03:00:00 - 02/01/2023 04:00:00","BZN|HU","Without Sequence","44.69","",""
"02/01/2023 04:00:00 - 02/01/2023 05:00:00","BZN|HU","Without Sequence","50.08","",""
