"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2024 00:00 - 01/01/2024 00:15","BZN|HR","1669.00","1752.72"
"01/01/2024 00:15 - 01/01/2024 00:30","BZN|HR","1649.00","1752.72"
"01/01/2024 00:30 - 01/01/2024 00:45","BZN|HR","1631.00","1752.72"
"01/01/2024 00:45 - 01/01/2024 01:00","BZN|HR","1612.00","1752.72"
"01/01/2024 01:00 - 01/01/2024 01:15","BZN|HR","1591.00","1651.04"
"01/01/2024 01:15 - 01/01/2024 01:30","BZN|HR","1573.00","1651.04"
"01/01/2024 01:30 - 01/01/2024 01:45","BZN|HR","1555.00","1651.04"
"01/01/2024 01:45 - 01/01/2024 02:00","BZN|HR","1524.00","1651.04"
"01/01/2024 02:00 - 01/01/2024 02:15","BZN|HR","1502.00","1563.60"
"01/01/2024 02:15 - 01/01/2024 02:30","BZN|HR","1485.00","1563.60"
"01/01/2024 02:30 - 01/01/2024 02:45","BZN|HR","1462.00","1563.60"
"01/01/2024 02:45 - 01/01/2024 03:00","BZN|HR","1443.00","1563.60"
"01/01/2024 03:00 - 01/01/2024 03:15","BZN|HR","1429.00","1484.92"
"01/01/2024 03:15 - 01/01/2024 03:30","BZN|HR","1413.00","1484.92"
"01/01/2024 03:30 - 01/01/2024 03:45","BZN|HR","1400.00","1484.92"
"01/01/2024 03:45 - 01/01/2024 04:00","BZN|HR","1385.00","1484.92"
"01/01/2024 04:00 - 01/01/2024 04:15","BZN|HR","1378.00","1444.72"
"01/01/2024 04:15 - 01/01/2024 04:30","BZN|HR","1372.00","1444.72"
"01/01/2024 04:30 - 01/01/2024 04:45","BZN|HR","1366.00","1444.72"
"01/01/2024 04:45 - 01/01/2024 05:00","BZN|HR","1364.00","1444.72"
"01/01/2024 05:00 - 01/01/2024 05:15","BZN|HR","1370.00","1461.12"
"01/01/2024 05:15 - 01/01/2024 05:30","BZN|HR","1374.00","1461.12"
"01/01/2024 05:30 - 01/01/2024 05:45","BZN|HR","1381.00","1461.12"
"01/01/2024 05:45 - 01/01/2024 06:00","BZN|HR","1381.00","1461.12"
"01/01/2024 06:00 - 01/01/2024 06:15","BZN|HR","1404.00","1551.28"
"01/01/2024 06:15 - 01/01/2024 06:30","BZN|HR","1417.00","1551.28"
