"MTU (CET/CEST)","Area","Generation Forecast (MW)","Actual Generation (MW)","Scheduled Consumption (MW)"
"01/01/2025 14:00:00 - 01/01/2025 14:15:00","BZN|HU","3277.64","3310.87"," "
"01/01/2025 14:15:00 - 01/01/2025 14:30:00","BZN|HU","3243.99","3263.51"," "
"01/01/2025 14:30:00 - 01/01/2025 14:45:00","BZN|HU","3225.17","3268.81"," "
"01/01/2025 14:45:00 - 01/01/2025 15:00:00","BZN|HU","3205.94","3271.32"," "
"01/01/2025 15:00:00 - 01/01/2025 15:15:00","BZN|HU","3324.45","3369.38"," "
"01/01/2025 15:15:00 - 01/01/2025 15:30:00","BZN|HU","3294.02","3350.91"," "
"01/01/2025 15:30:00 - 01/01/2025 15:45:00","BZN|HU","3289.62","3400.54"," "
"01/01/2025 15:45:00 - 01/01/2025 16:00:00","BZN|HU","3277.41","3393.29"," "
"01/01/2025 16:00:00 - 01/01/2025 16:15:00","BZN|HU","3325.40","3398.82"," "
"01/01/2025 16:15:00 - 01/01/2025 16:30:00","BZN|HU","3331.25","3436.07"," "
"01/01/2025 16:30:00 - 01/01/2025 16:45:00","BZN|HU","3347.45","3448.01"," "
"01/01/2025 16:45:00 - 01/01/2025 17:00:00","BZN|HU","3363.34","3458.17"," "
"01/01/2025 17:00:00 - 01/01/2025 17:15:00","BZN|HU","3363.91","3463.17"," "
"01/01/2025 17:15:00 - 01/01/2025 17:30:00","BZN|HU","3359.31","3465.14"," "
"01/01/2025 17:30:00 - 01/01/2025 17:45:00","BZN|HU","3342.57","3453.80"," "
"01/01/2025 17:45:00 - 01/01/2025 18:00:00","BZN|HU","3341.30","3444.02"," "
"01/01/2025 18:00:00 - 01/01/2025 18:15:00","BZN|HU","3352.82","3457.37"," "
"01/01/2025 18:15:00 - 01/01/2025 18:30:00","BZN|HU","3341.68","3468.48"," "
"01/01/2025 18:30:00 - 01/01/2025 18:45:00","BZN|HU","3329.84","3442.09"," "
"01/01/2025 18:45:00 - 01/01/2025 19:00:00","BZN|HU","3330.85","3440.97"," "
"01/01/2025 19:00:00 - 01/01/2025 19:15:00","BZN|HU","3344.12","3465.82"," "
"01/01/2025 19:15:00 - 01/01/2025 19:30:00","BZN|HU","3342.26","3486.99"," "
"01/01/2025 19:30:00 - 01/01/2025 19:45:00","BZN|HU","3327.51","3467.05"," "
"01/01/2025 19:45:00 - 01/01/2025 20:00:00","BZN|HU","3327.19","3455.65"," "
"01/01/2025 20:00:00 - 01/01/2025 20:15:00","BZN|HU","3288.16","3472.29"," "
"01/01/2025 20:15:00 - 01/01/2025 20:30:00","BZN|HU","3280.65","3440.67"," "
"01/01/2025 20:30:00 - 01/01/2025 20:45:00","BZN|HU","3265.39","3400.45"," "
"01/01/2025 20:45:00 - 01/01/2025 21:00:00","BZN|HU","3265.94","3404.29"," "
"01/01/2025 21:00:00 - 01/01/2025 21:15:00","BZN|HU","2852.90","3253.38"," "
"01/01/2025 21:15:00 - 01/01/2025 21:30:00","BZN|HU","2853.22","3084.73"," "
"01/01/2025 21:30:00 - 01/01/2025 21:45:00","BZN|HU","2831.41","2973.25"," "
"01/01/2025 21:45:00 - 01/01/2025 22:00:00","BZN|HU","2831.15","2952.38"," "
"01/01/2025 22:00:00 - 01/01/2025 22:15:00","BZN|HU","2775.30","2971.46"," "
"01/01/2025 22:15:00 - 01/01/2025 22:30:00","BZN|HU","2761.54","2922.56"," "
"01/01/2025 22:30:00 - 01/01/2025 22:45:00","BZN|HU","2746.50","2915.05"," "
"01/01/2025 22:45:00 - 01/01/2025 23:00:00","BZN|HU","2746.14","2916.47"," "
"01/01/2025 23:00:00 - 01/01/2025 23:15:00","BZN|HU","2711.02","2851.19"," "
"01/01/2025 23:15:00 - 01/01/2025 23:30:00","BZN|HU","2711.09","2812.10"," "
"01/01/2025 23:30:00 - 01/01/2025 23:45:00","BZN|HU","2695.95","2821.53"," "
"01/01/2025 23:45:00 - 02/01/2025 00:00:00","BZN|HU","2695.44","2822.76"," "
"02/01/2025 00:00:00 - 02/01/2025 00:15:00","BZN|HU","2651.57","2757.89"," "
"02/01/2025 00:15:00 - 02/01/2025 00:30:00","BZN|HU","2649.79","2740.84"," "
"02/01/2025 00:30:00 - 02/01/2025 00:45:00","BZN|HU","2633.27","2731.92"," "
"02/01/2025 00:45:00 - 02/01/2025 01:00:00","BZN|HU","2632.34","2723.28"," "
"02/01/2025 01:00:00 - 02/01/2025 01:15:00","BZN|HU","2636.00","2757.75"," "
"02/01/2025 01:15:00 - 02/01/2025 01:30:00","BZN|HU","2634.84","2790.46"," "
"02/01/2025 01:30:00 - 02/01/2025 01:45:00","BZN|HU","2616.36","2765.78"," "
"02/01/2025 01:45:00 - 02/01/2025 02:00:00","BZN|HU","2615.13","2731.38"," "
"02/01/2025 02:00:00 - 02/01/2025 02:15:00","BZN|HU","2627.34","2779.91"," "
"02/01/2025 02:15:00 - 02/01/2025 02:30:00","BZN|HU","2612.13","2794.68"," "
"02/01/2025 02:30:00 - 02/01/2025 02:45:00","BZN|HU","2614.46","2765.25"," "
"02/01/2025 02:45:00 - 02/01/2025 03:00:00","BZN|HU","2613.25","2716.42"," "
