"MTU (CET/CEST)","Area","Generation Forecast (MW)","Actual Generation (MW)","Scheduled Consumption (MW)"
"01/01/2023 00:00:00 - 01/01/2023 00:15:00","BZN|HU","2845.97","2855.73"," "
"01/01/2023 00:15:00 - 01/01/2023 00:30:00","BZN|HU","2818.03","2831.35"," "
"01/01/2023 00:30:00 - 01/01/2023 00:45:00","BZN|HU","2815.99","2893.13"," "
"01/01/2023 00:45:00 - 01/01/2023 01:00:00","BZN|HU","2816.93","2902.94"," "
"01/01/2023 01:00:00 - 01/01/2023 01:15:00","BZN|HU","2821.69","2924.64"," "
"01/01/2023 01:15:00 - 01/01/2023 01:30:00","BZN|HU","2770.21","2876.06"," "
"01/01/2023 01:30:00 - 01/01/2023 01:45:00","BZN|HU","2738.59","2838.37"," "
"01/01/2023 01:45:00 - 01/01/2023 02:00:00","BZN|HU","2668.99","2792.57"," "
"01/01/2023 02:00:00 - 01/01/2023 02:15:00","BZN|HU","2582.99","2696.50"," "
"01/01/2023 02:15:00 - 01/01/2023 02:30:00","BZN|HU","2538.02","2615.19"," "
"01/01/2023 02:30:00 - 01/01/2023 02:45:00","BZN|HU","2490.43","2550.51"," "
"01/01/2023 02:45:00 - 01/01/2023 03:00:00","BZN|HU","2452.35","2466.58"," "
"01/01/2023 03:00:00 - 01/01/2023 03:15:00","BZN|HU","2454.71","2395.21"," "
"01/01/2023 03:15:00 - 01/01/2023 03:30:00","BZN|HU","2454.77","2346.70"," "
"01/01/2023 03:30:00 - 01/01/2023 03:45:00","BZN|HU","2457.18","2297.39"," "
"01/01/2023 03:45:00 - 01/01/2023 04:00:00","BZN|HU","2457.61","2297.05"," "
"01/01/2023 04:00:00 - 01/01/2023 04:15:00","BZN|HU","2465.73","2310.68"," "
"01/01/2023 04:15:00 - 01/01/2023 04:30:00","BZN|HU","2466.31","2391.81"," "
"01/01/2023 04:30:00 - 01/01/2023 04:45:00","BZN|HU","2468.49","2361.48"," "
"01/01/2023 04:45:00 - 01/01/2023 05:00:00","BZN|HU","2468.39","2318.63"," "
"01/01/2023 05:00:00 - 01/01/2023 05:15:00","BZN|HU","2476.34","2324.41"," "
"01/01/2023 05:15:00 - 01/01/2023 05:30:00","BZN|HU","2476.14","2317.02"," "
"01/01/2023 05:30:00 - 01/01/2023 05:45:00","BZN|HU","2477.77","2331.77"," "
"01/01/2023 05:45:00 - 01/01/2023 06:00:00","BZN|HU","2478.15","2353.71"," "
"01/01/2023 06:00:00 - 01/01/2023 06:15:00","BZN|HU","2493.18","2347.81"," "
"01/01/2023 06:15:00 - 01/01/2023 06:30:00","BZN|HU","2495.11","2348.56"," "
"01/01/2023 06:30:00 - 01/01/2023 06:45:00","BZN|HU","2500.02","2359.63"," "
"01/01/2023 06:45:00 - 01/01/2023 07:00:00","BZN|HU","2533.55","2364.48"," "
"01/01/2023 07:00:00 - 01/01/2023 07:15:00","BZN|HU","2543.03","2403.49"," "
"01/01/2023 07:15:00 - 01/01/2023 07:30:00","BZN|HU","2585.48","2515.68"," "
"01/01/2023 07:30:00 - 01/01/2023 07:45:00","BZN|HU","2634.51","2539.96"," "
"01/01/2023 07:45:00 - 01/01/2023 08:00:00","BZN|HU","2713.35","2607.78"," "
"01/01/2023 08:00:00 - 01/01/2023 08:15:00","BZN|HU","2888.57","2717.11"," "
"01/01/2023 08:15:00 - 01/01/2023 08:30:00","BZN|HU","3058.23","2949.76"," "
"01/01/2023 08:30:00 - 01/01/2023 08:45:00","BZN|HU","3207.92","3121.81"," "
"01/01/2023 08:45:00 - 01/01/2023 09:00:00","BZN|HU","3353.69","3246.03"," "
"01/01/2023 09:00:00 - 01/01/2023 09:15:00","BZN|HU","3447.56","3320.82"," "
"01/01/2023 09:15:00 - 01/01/2023 09:30:00","BZN|HU","3529.90","3333.40"," "
"01/01/2023 09:30:00 - 01/01/2023 09:45:00","BZN|HU","3619.60","3436.97"," "
"01/01/2023 09:45:00 - 01/01/2023 10:00:00","BZN|HU","3697.55","3477.20"," "
"01/01/2023 10:00:00 - 01/01/2023 10:15:00","BZN|HU","3839.11","3370.29"," "
"01/01/2023 10:15:00 - 01/01/2023 10:30:00","BZN|HU","3858.56","3451.57"," "
"01/01/2023 10:30:00 - 01/01/2023 10:45:00","BZN|HU","3900.05","3491.84"," "
"01/01/2023 10:45:00 - 01/01/2023 11:00:00","BZN|HU","3952.11","3503.08"," "
"01/01/2023 11:00:00 - 01/01/2023 11:15:00","BZN|HU","3926.61","3534.37"," "
"01/01/2023 11:15:00 - 01/01/2023 11:30:00","BZN|HU","3938.27","3566.78"," "
"01/01/2023 11:30:00 - 01/01/2023 11:45:00","BZN|HU","3927.18","3628.48"," "
"01/01/2023 11:45:00 - 01/01/2023 12:00:00","BZN|HU","3905.61","3583.70"," "
"01/01/2023 12:00:00 - 01/01/2023 12:15:00","BZN|HU","3822.08","3535.05"," "
"01/01/2023 12:15:00 - 01/01/2023 12:30:00","BZN|HU","3774.48","3449.86"," "
"01/01/2023 12:30:00 - 01/01/2023 12:45:00","BZN|HU","3689.49","3469.05"," "
"01/01/2023 12:45:00 - 01/01/2023 13:00:00","BZN|HU","3643.39","3499.48"," "
"01/01/2023 13:00:00 - 01/01/2023 13:15:00","BZN|HU","3533.85","3400.47"," "
"01/01/2023 13:15:00 - 01/01/2023 13:30:00","BZN|HU","3439.70","3396.76"," "
"01/01/2023 13:30:00 - 01/01/2023 13:45:00","BZN|HU","3367.91","3351.22"," "
"01/01/2023 13:45:00 - 01/01/2023 14:00:00","BZN|HU","3317.11","3306.52"," "
"01/01/2023 14:00:00 - 01/01/2023 14:15:00","BZN|HU","3243.13","3236.75"," "
"01/01/2023 14:15:00 - 01/01/2023 14:30:00","BZN|HU","3177.89","3093.62"," "
