"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2026 13:30:00 - 01/01/2026 13:45:00","BZN|HR","Without Sequence","30.97","",""
"01/01/2026 13:45:00 - 01/01/2026 14:00:00","BZN|HR","Without Sequence","31.96","",""
"01/01/2026 14:00:00 - 01/01/2026 14:15:00","BZN|HR","Without Sequence","38.87","",""
"01/01/2026 14:15:00 - 01/01/2026 14:30:00","BZN|HR","Without Sequence","55.29","",""
"01/01/2026 14:30:00 - 01/01/2026 14:45:00","BZN|HR","Without Sequence","54.96","",""
"01/01/2026 14:45:00 - 01/01/2026 15:00:00","BZN|HR","Without Sequence","80.09","",""
"01/01/2026 15:00:00 - 01/01/2026 15:15:00","BZN|HR","Without Sequence","55.19","",""
"01/01/2026 15:15:00 - 01/01/2026 15:30:00","BZN|HR","Without Sequence","66.03","",""
"01/01/2026 15:30:00 - 01/01/2026 15:45:00","BZN|HR","Without Sequence","91.04","",""
"01/01/2026 15:45:00 - 01/01/2026 16:00:00","BZN|HR","Without Sequence","124.73","",""
"01/01/2026 16:00:00 - 01/01/2026 16:15:00","BZN|HR","Without Sequence","86.44","",""
"01/01/2026 16:15:00 - 01/01/2026 16:30:00","BZN|HR","Without Sequence","92.88","",""
"01/01/2026 16:30:00 - 01/01/2026 16:45:00","BZN|HR","Without Sequence","103.88","",""
"01/01/2026 16:45:00 - 01/01/2026 17:00:00","BZN|HR","Without Sequence","98.67","",""
"01/01/2026 17:00:00 - 01/01/2026 17:15:00","BZN|HR","Without Sequence","98.71","",""
"01/01/2026 17:15:00 - 01/01/2026 17:30:00","BZN|HR","Without Sequence","102.55","",""
"01/01/2026 17:30:00 - 01/01/2026 17:45:00","BZN|HR","Without Sequence","95.38","",""
"01/01/2026 17:45:00 - 01/01/2026 18:00:00","BZN|HR","Without Sequence","88.67","",""
"01/01/2026 18:00:00 - 01/01/2026 18:15:00","BZN|HR","Without Sequence","103.35","",""
"01/01/2026 18:15:00 - 01/01/2026 18:30:00","BZN|HR","Without Sequence","95.49","",""
"01/01/2026 18:30:00 - 01/01/2026 18:45:00","BZN|HR","Without Sequence","99.60","",""
"01/01/2026 18:45:00 - 01/01/2026 19:00:00","BZN|HR","Without Sequence","93.26","",""
"01/01/2026 19:00:00 - 01/01/2026 19:15:00","BZN|HR","Without Sequence","89.51","",""
"01/01/2026 19:15:00 - 01/01/2026 19:30:00","BZN|HR","Without Sequence","98.99","",""
"01/01/2026 19:30:00 - 01/01/2026 19:45:00","BZN|HR","Without Sequence","99.72","",""
"01/01/2026 19:45:00 - 01/01/2026 20:00:00","BZN|HR","Without Sequence","101.01","",""
"01/01/2026 20:00:00 - 01/01/2026 20:15:00","BZN|HR","Without Sequence","103.99","",""
"01/01/2026 20:15:00 - 01/01/2026 20:30:00","BZN|HR","Without Sequence","107.57","",""
"01/01/2026 20:30:00 - 01/01/2026 20:45:00","BZN|HR","Without Sequence","93.82","",""
"01/01/2026 20:45:00 - 01/01/2026 21:00:00","BZN|HR","Without Sequence","83.34","",""
"01/01/2026 21:00:00 - 01/01/2026 21:15:00","BZN|HR","Without Sequence","104.66","",""
"01/01/2026 21:15:00 - 01/01/2026 21:30:00","BZN|HR","Without Sequence","89.30","",""
"01/01/2026 21:30:00 - 01/01/2026 21:45:00","BZN|HR","Without Sequence","85.88","",""
"01/01/2026 21:45:00 - 01/01/2026 22:00:00","BZN|HR","Without Sequence","69.89","",""
"01/01/2026 22:00:00 - 01/01/2026 22:15:00","BZN|HR","Without Sequence","107.34","",""
"01/01/2026 22:15:00 - 01/01/2026 22:30:00","BZN|HR","Without Sequence","80.40","",""
