"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|HR","Without Sequence","0.10","",""
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|HR","Without Sequence","0.01","",""
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|HR","Without Sequence","0.03","",""
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|HR","Without Sequence","0.00","",""
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|HR","Without Sequence","0.00","",""
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|HR","Without Sequence","0.00","",""
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|HR","Without Sequence","0.02","",""
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|HR","Without Sequence","0.00","",""
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|HR","Without Sequence","0.00","",""
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|HR","Without Sequence","0.04","",""
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|HR","Without Sequence","0.06","",""
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|HR","Without Sequence","0.54","",""
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|HR","Without Sequence","2.24","",""
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|HR","Without Sequence","2.94","",""
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|HR","Without Sequence","7.86","",""
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|HR","Without Sequence","31.90","",""
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|HR","Without Sequence","49.32","",""
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|HR","Without Sequence","58.44","",""
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|HR","Without Sequence","59.47","",""
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|HR","Without Sequence","54.96","",""
