"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|PL","2782.58","3118.93","3118.93","2817.75"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|PL","2576.21","2686.43","2686.43","2485.70"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|PL","2413.94","2424.87","2424.87","2365.05"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|PL","2273.01","2299.44","2299.44","2248.58"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|PL","2117.32","2127.43","2127.43","2056.19"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|PL","1926.80","2017.84","2017.84","1904.76"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|PL","1742.99","1859.42","1859.42","1602.08"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|PL","1615.73","1457.03","1484.33","1348.10"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|PL","1569.04","1357.81","1464.97","1412.44"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|PL","1525.67","1330.32","1428.96","1465.95"
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|PL","1461.97","1326.10","1379.72","1439.84"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|PL","1411.45","1440.10","1272.93","1258.25"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|PL","1367.47","1385.98","1097.52","1218.05"
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|PL","1425.03","1404.63","1192.51","1246.59"
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|PL","1537.70","1515.68","1300.43","1327.50"
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|PL","1691.80","1663.75","1316.55","1486.75"
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|PL","1872.84","1847.89","1500.38","1757.21"
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|PL","2042.50","2058.48","1824.92","2052.68"
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|PL","2194.27","2214.99","2229.32","2263.68"
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|PL","2326.97","2303.88","2246.24","2303.18"
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|PL","2407.52","2359.34","2378.12","2455.93"
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|PL","2430.63","2383.04","2276.47","2349.49"
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|PL","2390.80","2357.09","1987.75","2238.69"
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|PL","2308.59","2302.99","2082.92","2194.75"
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","BZN|PL","2475.99","1852.14","1852.14","2133.99"
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","BZN|PL","2400.69","1863.17","1863.17","2017.08"
"02/01/2024 02:00:00 - 02/01/2024 03:00:00","BZN|PL","2298.69","1743.44","1743.44","1924.53"
"02/01/2024 03:00:00 - 02/01/2024 04:00:00","BZN|PL","2131.02","1764.67","1764.67","1889.40"
"02/01/2024 04:00:00 - 02/01/2024 05:00:00","BZN|PL","1917.14","1575.64","1575.64","1695.20"
"02/01/2024 05:00:00 - 02/01/2024 06:00:00","BZN|PL","1678.51","1369.38","1369.38","1536.49"
"02/01/2024 06:00:00 - 02/01/2024 07:00:00","BZN|PL","1460.97","1201.30","1201.30","1315.66"
"02/01/2024 07:00:00 - 02/01/2024 08:00:00","BZN|PL","1344.04","1186.54","1152.63","1220.23"
"02/01/2024 08:00:00 - 02/01/2024 09:00:00","BZN|PL","1351.71","1306.80","1239.20","1216.13"
"02/01/2024 09:00:00 - 02/01/2024 10:00:00","BZN|PL","1425.74","1353.40","1322.35","1266.99"
"02/01/2024 10:00:00 - 02/01/2024 11:00:00","BZN|PL","1534.49","1418.73","1447.92","1308.25"
"02/01/2024 11:00:00 - 02/01/2024 12:00:00","BZN|PL","1601.77","1463.40","1348.68","1155.78"
"02/01/2024 12:00:00 - 02/01/2024 13:00:00","BZN|PL","1748.22","1563.51","980.02","1161.50"
"02/01/2024 13:00:00 - 02/01/2024 14:00:00","BZN|PL","2051.05","1832.46","1349.02","1347.38"
