"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2025 00:00:00 - 01/01/2025 00:15:00","BZN|PL","7227.58","6162.00","6893.28","6576.63"
"01/01/2025 00:15:00 - 01/01/2025 00:30:00","BZN|PL","7325.17","5549.57","6958.15","6548.74"
"01/01/2025 00:30:00 - 01/01/2025 00:45:00","BZN|PL","7422.76","5397.18","7023.03","6258.70"
"01/01/2025 00:45:00 - 01/01/2025 01:00:00","BZN|PL","7520.36","5194.82","7087.90","6398.34"
"01/01/2025 01:00:00 - 01/01/2025 01:15:00","BZN|PL","7596.73","4305.15","6329.96","6386.10"
"01/01/2025 01:15:00 - 01/01/2025 01:30:00","BZN|PL","7653.70","4401.63","6394.80","6572.30"
"01/01/2025 01:30:00 - 01/01/2025 01:45:00","BZN|PL","7710.67","4463.96","6457.04","6581.05"
"01/01/2025 01:45:00 - 01/01/2025 02:00:00","BZN|PL","7767.64","4650.83","5376.57","6588.20"
"01/01/2025 02:00:00 - 01/01/2025 02:15:00","BZN|PL","7821.36","4468.29","5325.40","6451.20"
"01/01/2025 02:15:00 - 01/01/2025 02:30:00","BZN|PL","7878.64","4249.61","5407.92","6438.14"
"01/01/2025 02:30:00 - 01/01/2025 02:45:00","BZN|PL","7935.92","4279.45","5490.43","6282.29"
"01/01/2025 02:45:00 - 01/01/2025 03:00:00","BZN|PL","7993.20","4041.03","5462.40","6488.47"
"01/01/2025 03:00:00 - 01/01/2025 03:15:00","BZN|PL","8046.02","4100.43","5429.30","6112.30"
"01/01/2025 03:15:00 - 01/01/2025 03:30:00","BZN|PL","8094.30","4014.99","5487.95","6113.96"
"01/01/2025 03:30:00 - 01/01/2025 03:45:00","BZN|PL","8142.58","3951.41","5546.61","6189.01"
"01/01/2025 03:45:00 - 01/01/2025 04:00:00","BZN|PL","8190.86","3992.10","5126.25","6080.82"
"01/01/2025 04:00:00 - 01/01/2025 04:15:00","BZN|PL","8211.64","3762.04","4989.62","5508.79"
"01/01/2025 04:15:00 - 01/01/2025 04:30:00","BZN|PL","8228.75","3329.88","5049.47","5349.30"
"01/01/2025 04:30:00 - 01/01/2025 04:45:00","BZN|PL","8245.87","3212.49","5109.32","5460.04"
"01/01/2025 04:45:00 - 01/01/2025 05:00:00","BZN|PL","8262.98","3202.06","4837.64","5448.83"
"01/01/2025 05:00:00 - 01/01/2025 05:15:00","BZN|PL","8281.50","3882.06","4997.89","5412.51"
"01/01/2025 05:15:00 - 01/01/2025 05:30:00","BZN|PL","8299.39","3803.19","5058.34","5453.70"
"01/01/2025 05:30:00 - 01/01/2025 05:45:00","BZN|PL","8317.28","3772.69","5118.79","5457.13"
"01/01/2025 05:45:00 - 01/01/2025 06:00:00","BZN|PL","8335.17","3775.48","5292.45","5436.82"
"01/01/2025 06:00:00 - 01/01/2025 06:15:00","BZN|PL","8347.10","3057.89","4705.76","5192.77"
"01/01/2025 06:15:00 - 01/01/2025 06:30:00","BZN|PL","8357.33","3115.58","4780.16","5149.89"
"01/01/2025 06:30:00 - 01/01/2025 06:45:00","BZN|PL","8367.56","3320.72","4854.57","4685.63"
"01/01/2025 06:45:00 - 01/01/2025 07:00:00","BZN|PL","8377.79","3126.46","5051.40","4636.54"
"01/01/2025 07:00:00 - 01/01/2025 07:15:00","BZN|PL","8394.09","2489.59","5194.52","4773.51"
"01/01/2025 07:15:00 - 01/01/2025 07:30:00","BZN|PL","8410.68","3791.12","5278.34","4798.22"
"01/01/2025 07:30:00 - 01/01/2025 07:45:00","BZN|PL","8427.27","3948.22","5289.01","4792.33"
"01/01/2025 07:45:00 - 01/01/2025 08:00:00","BZN|PL","8443.86","4435.70","4435.70","4992.08"
"01/01/2025 08:00:00 - 01/01/2025 08:15:00","BZN|PL","8450.01","4642.38","4642.38","5053.99"
"01/01/2025 08:15:00 - 01/01/2025 08:30:00","BZN|PL","8455.84","4724.82","4724.82","5091.50"
"01/01/2025 08:30:00 - 01/01/2025 08:45:00","BZN|PL","8461.67","4807.26","4807.26","4823.07"
"01/01/2025 08:45:00 - 01/01/2025 09:00:00","BZN|PL","8467.49","4889.70","4679.23","4171.17"
"01/01/2025 09:00:00 - 01/01/2025 09:15:00","BZN|PL","8467.91","3820.17","3646.46","3707.68"
"01/01/2025 09:15:00 - 01/01/2025 09:30:00","BZN|PL","8464.78","3876.50","3701.28","3706.04"
"01/01/2025 09:30:00 - 01/01/2025 09:45:00","BZN|PL","8461.66","3953.36","3756.11","3713.46"
"01/01/2025 09:45:00 - 01/01/2025 10:00:00","BZN|PL","8458.53","4059.89","3679.75","3732.73"
"01/01/2025 10:00:00 - 01/01/2025 10:15:00","BZN|PL","8437.79","4186.96","3764.39","3722.29"
"01/01/2025 10:15:00 - 01/01/2025 10:30:00","BZN|PL","8416.24","4344.52","3799.88","3714.20"
"01/01/2025 10:30:00 - 01/01/2025 10:45:00","BZN|PL","8394.70","4546.01","3835.37","3754.34"
"01/01/2025 10:45:00 - 01/01/2025 11:00:00","BZN|PL","8373.15","4775.08","3034.79","3741.65"
"01/01/2025 11:00:00 - 01/01/2025 11:15:00","BZN|PL","8350.91","5331.38","3360.76","3884.14"
"01/01/2025 11:15:00 - 01/01/2025 11:30:00","BZN|PL","8331.01","5546.40","3446.65","3867.00"
"01/01/2025 11:30:00 - 01/01/2025 11:45:00","BZN|PL","8311.10","5717.48","3532.54","3884.76"
"01/01/2025 11:45:00 - 01/01/2025 12:00:00","BZN|PL","8291.19","5842.22","3913.67","3883.20"
"01/01/2025 12:00:00 - 01/01/2025 12:15:00","BZN|PL","8335.15","6186.67","4311.27","3995.36"
"01/01/2025 12:15:00 - 01/01/2025 12:30:00","BZN|PL","8384.96","6304.51","4446.18","3996.84"
"01/01/2025 12:30:00 - 01/01/2025 12:45:00","BZN|PL","8434.78","6401.83","4391.70","3991.46"
"01/01/2025 12:45:00 - 01/01/2025 13:00:00","BZN|PL","8484.59","6485.64","4227.12","4348.53"
"01/01/2025 13:00:00 - 01/01/2025 13:15:00","BZN|PL","8511.57","7116.63","5055.44","4790.56"
"01/01/2025 13:15:00 - 01/01/2025 13:30:00","BZN|PL","8536.28","7148.82","5196.28","5000.57"
"01/01/2025 13:30:00 - 01/01/2025 13:45:00","BZN|PL","8560.99","7181.01","5337.13","5076.55"
"01/01/2025 13:45:00 - 01/01/2025 14:00:00","BZN|PL","8585.70","7213.20","5302.24","5348.04"
"01/01/2025 14:00:00 - 01/01/2025 14:15:00","BZN|PL","8593.42","7864.42","5906.44","7059.91"
"01/01/2025 14:15:00 - 01/01/2025 14:30:00","BZN|PL","8598.91","7880.05","6004.34","7098.42"
"01/01/2025 14:30:00 - 01/01/2025 14:45:00","BZN|PL","8604.41","7895.67","6102.24","7047.61"
"01/01/2025 14:45:00 - 01/01/2025 15:00:00","BZN|PL","8609.90","7911.30","6292.62","7081.58"
"01/01/2025 15:00:00 - 01/01/2025 15:15:00","BZN|PL","8613.85","8256.32","6228.27","7463.93"
"01/01/2025 15:15:00 - 01/01/2025 15:30:00","BZN|PL","8618.12","8263.83","6303.20","7500.55"
"01/01/2025 15:30:00 - 01/01/2025 15:45:00","BZN|PL","8622.38","8271.34","6378.13","7464.86"
"01/01/2025 15:45:00 - 01/01/2025 16:00:00","BZN|PL","8626.64","8278.85","7362.09","7556.34"
"01/01/2025 16:00:00 - 01/01/2025 16:15:00","BZN|PL","8635.66","8597.37","7702.57","8576.25"
"01/01/2025 16:15:00 - 01/01/2025 16:30:00","BZN|PL","8644.67","8603.35","7751.12","8826.67"
"01/01/2025 16:30:00 - 01/01/2025 16:45:00","BZN|PL","8653.69","8609.32","7799.67","8859.06"
"01/01/2025 16:45:00 - 01/01/2025 17:00:00","BZN|PL","8662.70","8615.30","7170.49","8880.08"
"01/01/2025 17:00:00 - 01/01/2025 17:15:00","BZN|PL","8670.42","8622.81","7242.71","8906.38"
"01/01/2025 17:15:00 - 01/01/2025 17:30:00","BZN|PL","8676.83","8629.33","7276.03","8888.51"
"01/01/2025 17:30:00 - 01/01/2025 17:45:00","BZN|PL","8683.23","8635.86","7309.34","8903.31"
"01/01/2025 17:45:00 - 01/01/2025 18:00:00","BZN|PL","8689.64","8642.38","9069.80","8891.21"
"01/01/2025 18:00:00 - 01/01/2025 18:15:00","BZN|PL","8690.95","8648.12","9098.89","8878.76"
"01/01/2025 18:15:00 - 01/01/2025 18:30:00","BZN|PL","8691.71","8653.38","9109.34","8877.45"
"01/01/2025 18:30:00 - 01/01/2025 18:45:00","BZN|PL","8692.47","8658.63","9119.79","8882.01"
"01/01/2025 18:45:00 - 01/01/2025 19:00:00","BZN|PL","8693.23","8663.89","9081.87","8838.75"
"01/01/2025 19:00:00 - 01/01/2025 19:15:00","BZN|PL","8693.65","8667.66","9092.60","8849.70"
"01/01/2025 19:15:00 - 01/01/2025 19:30:00","BZN|PL","8694.27","8670.97","9099.94","8828.61"
"01/01/2025 19:30:00 - 01/01/2025 19:45:00","BZN|PL","8694.89","8674.28","9107.28","8856.88"
"01/01/2025 19:45:00 - 01/01/2025 20:00:00","BZN|PL","8695.51","8677.59","9065.24","8845.47"
"01/01/2025 20:00:00 - 01/01/2025 20:15:00","BZN|PL","8696.55","8679.32","8118.37","8842.22"
"01/01/2025 20:15:00 - 01/01/2025 20:30:00","BZN|PL","8696.92","8681.17","8125.00","8801.60"
"01/01/2025 20:30:00 - 01/01/2025 20:45:00","BZN|PL","8697.28","8683.01","8131.63","8838.35"
