"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2024 12:45:00 - 01/01/2024 13:00:00","BZN|HR","24.83","24.83","24.83","23.20"
"01/01/2024 13:00:00 - 01/01/2024 13:15:00","BZN|HR","21.83","21.83","21.83","20.00"
"01/01/2024 13:15:00 - 01/01/2024 13:30:00","BZN|HR","21.83","21.83","21.83","19.60"
"01/01/2024 13:30:00 - 01/01/2024 13:45:00","BZN|HR","21.83","21.83","21.83","20.00"
"01/01/2024 13:45:00 - 01/01/2024 14:00:00","BZN|HR","21.83","21.83","21.83","19.60"
"01/01/2024 14:00:00 - 01/01/2024 14:15:00","BZN|HR","15.89","15.89","15.89","14.40"
"01/01/2024 14:15:00 - 01/01/2024 14:30:00","BZN|HR","15.89","15.89","15.89","14.00"
"01/01/2024 14:30:00 - 01/01/2024 14:45:00","BZN|HR","15.89","15.89","15.89","14.00"
"01/01/2024 14:45:00 - 01/01/2024 15:00:00","BZN|HR","15.89","15.89","15.89","13.60"
"01/01/2024 15:00:00 - 01/01/2024 15:15:00","BZN|HR","8.19","8.19","8.19","7.20"
"01/01/2024 15:15:00 - 01/01/2024 15:30:00","BZN|HR","8.19","8.19","8.19","7.20"
"01/01/2024 15:30:00 - 01/01/2024 15:45:00","BZN|HR","8.19","8.19","8.19","7.20"
"01/01/2024 15:45:00 - 01/01/2024 16:00:00","BZN|HR","8.19","8.19","8.19","7.20"
"01/01/2024 16:00:00 - 01/01/2024 16:15:00","BZN|HR","2.29","2.29","2.29","2.00"
"01/01/2024 16:15:00 - 01/01/2024 16:30:00","BZN|HR","2.29","2.29","2.29","2.00"
"01/01/2024 16:30:00 - 01/01/2024 16:45:00","BZN|HR","2.29","2.29","2.29","2.00"
"01/01/2024 16:45:00 - 01/01/2024 17:00:00","BZN|HR","2.29","2.29","2.29","2.00"
"01/01/2024 17:00:00 - 01/01/2024 17:15:00","BZN|HR","1.30","1.30","1.30","1.20"
"01/01/2024 17:15:00 - 01/01/2024 17:30:00","BZN|HR","1.30","1.30","1.30","1.20"
"01/01/2024 17:30:00 - 01/01/2024 17:45:00","BZN|HR","1.30","1.30","1.30","1.20"
"01/01/2024 17:45:00 - 01/01/2024 18:00:00","BZN|HR","1.30","1.30","1.30","1.20"
"01/01/2024 18:00:00 - 01/01/2024 18:15:00","BZN|HR","0.65","0.65","0.65","0.80"
"01/01/2024 18:15:00 - 01/01/2024 18:30:00","BZN|HR","0.65","0.65","0.65","0.80"
"01/01/2024 18:30:00 - 01/01/2024 18:45:00","BZN|HR","0.65","0.65","0.65","0.80"
"01/01/2024 18:45:00 - 01/01/2024 19:00:00","BZN|HR","0.65","0.65","0.65","0.80"
"01/01/2024 19:00:00 - 01/01/2024 19:15:00","BZN|HR","0.20","0.20","0.20","0.40"
"01/01/2024 19:15:00 - 01/01/2024 19:30:00","BZN|HR","0.20","0.20","0.20","0.40"
"01/01/2024 19:30:00 - 01/01/2024 19:45:00","BZN|HR","0.20","0.20","0.20","0.40"
"01/01/2024 19:45:00 - 01/01/2024 20:00:00","BZN|HR","0.20","0.20","0.20","0.40"
"01/01/2024 20:00:00 - 01/01/2024 20:15:00","BZN|HR","0.02","0.02","0.02","0.00"
"01/01/2024 20:15:00 - 01/01/2024 20:30:00","BZN|HR","0.02","0.02","0.02","0.00"
"01/01/2024 20:30:00 - 01/01/2024 20:45:00","BZN|HR","0.02","0.02","0.02","0.00"
"01/01/2024 20:45:00 - 01/01/2024 21:00:00","BZN|HR","0.02","0.02","0.02","0.00"
"01/01/2024 21:00:00 - 01/01/2024 21:15:00","BZN|HR","0.00","0.00","0.00","0.00"
"01/01/2024 21:15:00 - 01/01/2024 21:30:00","BZN|HR","0.00","0.00","0.00","0.00"
"01/01/2024 21:30:00 - 01/01/2024 21:45:00","BZN|HR","0.00","0.00","0.00","0.00"
"01/01/2024 21:45:00 - 01/01/2024 22:00:00","BZN|HR","0.00","0.00","0.00","0.00"
"01/01/2024 22:00:00 - 01/01/2024 22:15:00","BZN|HR","0.00","0.00","0.00","0.00"
"01/01/2024 22:15:00 - 01/01/2024 22:30:00","BZN|HR","0.00","0.00","0.00","0.00"
"01/01/2024 22:30:00 - 01/01/2024 22:45:00","BZN|HR","0.00","0.00","0.00","0.00"
"01/01/2024 22:45:00 - 01/01/2024 23:00:00","BZN|HR","0.00","0.00","0.00","0.00"
"01/01/2024 23:00:00 - 01/01/2024 23:15:00","BZN|HR","0.00","0.00","0.00","0.00"
"01/01/2024 23:15:00 - 01/01/2024 23:30:00","BZN|HR","0.00","0.00","0.00","0.00"
"01/01/2024 23:30:00 - 01/01/2024 23:45:00","BZN|HR","0.00","0.00","0.00","0.00"
"01/01/2024 23:45:00 - 02/01/2024 00:00:00","BZN|HR","0.00","0.00","0.00","0.00"
"02/01/2024 00:00:00 - 02/01/2024 00:15:00","BZN|HR","0.00","0.00","0.00","0.00"
"02/01/2024 00:15:00 - 02/01/2024 00:30:00","BZN|HR","0.00","0.00","0.00","0.00"
"02/01/2024 00:30:00 - 02/01/2024 00:45:00","BZN|HR","0.00","0.00","0.00","0.00"
"02/01/2024 00:45:00 - 02/01/2024 01:00:00","BZN|HR","0.00","0.00","0.00","0.00"
"02/01/2024 01:00:00 - 02/01/2024 01:15:00","BZN|HR","0.00","0.00","0.00","0.00"
"02/01/2024 01:15:00 - 02/01/2024 01:30:00","BZN|HR","0.00","0.00","0.00","0.00"
"02/01/2024 01:30:00 - 02/01/2024 01:45:00","BZN|HR","0.00","0.00","0.00","0.00"
"02/01/2024 01:45:00 - 02/01/2024 02:00:00","BZN|HR","0.00","0.00","0.00","0.00"
"02/01/2024 02:00:00 - 02/01/2024 02:15:00","BZN|HR","0.00","0.00","0.00","0.00"
"02/01/2024 02:15:00 - 02/01/2024 02:30:00","BZN|HR","0.00","0.00","0.00","0.00"
"02/01/2024 02:30:00 - 02/01/2024 02:45:00","BZN|HR","0.00","0.00","0.00","0.00"
"02/01/2024 02:45:00 - 02/01/2024 03:00:00","BZN|HR","0.00","0.00","0.00","0.00"
"02/01/2024 03:00:00 - 02/01/2024 03:15:00","BZN|HR","0.00","0.00","0.00","0.00"
"02/01/2024 03:15:00 - 02/01/2024 03:30:00","BZN|HR","0.00","0.00","0.00","0.00"
"02/01/2024 03:30:00 - 02/01/2024 03:45:00","BZN|HR","0.00","0.00","0.00","0.00"
"02/01/2024 03:45:00 - 02/01/2024 04:00:00","BZN|HR","0.00","0.00","0.00","0.00"
"02/01/2024 04:00:00 - 02/01/2024 04:15:00","BZN|HR","0.02","0.02","0.02","0.00"
"02/01/2024 04:15:00 - 02/01/2024 04:30:00","BZN|HR","0.02","0.02","0.02","0.00"
"02/01/2024 04:30:00 - 02/01/2024 04:45:00","BZN|HR","0.02","0.02","0.02","0.00"
"02/01/2024 04:45:00 - 02/01/2024 05:00:00","BZN|HR","0.02","0.02","0.02","0.00"
"02/01/2024 05:00:00 - 02/01/2024 05:15:00","BZN|HR","0.08","0.08","0.08","0.00"
"02/01/2024 05:15:00 - 02/01/2024 05:30:00","BZN|HR","0.08","0.08","0.08","0.00"
"02/01/2024 05:30:00 - 02/01/2024 05:45:00","BZN|HR","0.08","0.08","0.08","0.00"
"02/01/2024 05:45:00 - 02/01/2024 06:00:00","BZN|HR","0.08","0.08","0.08","0.00"
"02/01/2024 06:00:00 - 02/01/2024 06:15:00","BZN|HR","0.59","0.59","0.59","0.40"
"02/01/2024 06:15:00 - 02/01/2024 06:30:00","BZN|HR","0.59","0.59","0.59","0.40"
"02/01/2024 06:30:00 - 02/01/2024 06:45:00","BZN|HR","0.59","0.59","0.59","0.40"
"02/01/2024 06:45:00 - 02/01/2024 07:00:00","BZN|HR","0.59","0.59","0.59","0.40"
"02/01/2024 07:00:00 - 02/01/2024 07:15:00","BZN|HR","3.60","3.60","3.60","2.40"
"02/01/2024 07:15:00 - 02/01/2024 07:30:00","BZN|HR","3.60","3.60","3.60","2.40"
"02/01/2024 07:30:00 - 02/01/2024 07:45:00","BZN|HR","3.60","3.60","3.60","2.40"
"02/01/2024 07:45:00 - 02/01/2024 08:00:00","BZN|HR","3.60","3.60","3.60","2.80"
"02/01/2024 08:00:00 - 02/01/2024 08:15:00","BZN|HR","12.78","12.78","12.78","10.00"
"02/01/2024 08:15:00 - 02/01/2024 08:30:00","BZN|HR","12.78","12.78","12.78","10.00"
"02/01/2024 08:30:00 - 02/01/2024 08:45:00","BZN|HR","12.78","12.78","12.78","10.40"
"02/01/2024 08:45:00 - 02/01/2024 09:00:00","BZN|HR","12.78","12.78","12.78","10.40"
"02/01/2024 09:00:00 - 02/01/2024 09:15:00","BZN|HR","26.91","26.91","26.91","22.00"
"02/01/2024 09:15:00 - 02/01/2024 09:30:00","BZN|HR","26.91","26.91","26.91","22.40"
"02/01/2024 09:30:00 - 02/01/2024 09:45:00","BZN|HR","26.91","26.91","26.91","22.40"
"02/01/2024 09:45:00 - 02/01/2024 10:00:00","BZN|HR","26.91","26.91","26.91","22.80"
"02/01/2024 10:00:00 - 02/01/2024 10:15:00","BZN|HR","38.79","38.79","38.79","34.80"
"02/01/2024 10:15:00 - 02/01/2024 10:30:00","BZN|HR","38.79","38.79","38.79","34.80"
"02/01/2024 10:30:00 - 02/01/2024 10:45:00","BZN|HR","38.79","38.79","38.79","34.80"
"02/01/2024 10:45:00 - 02/01/2024 11:00:00","BZN|HR","38.79","38.79","38.79","35.20"
"02/01/2024 11:00:00 - 02/01/2024 11:15:00","BZN|HR","42.27","42.27","42.27","38.40"
"02/01/2024 11:15:00 - 02/01/2024 11:30:00","BZN|HR","42.27","42.27","42.27","38.80"
"02/01/2024 11:30:00 - 02/01/2024 11:45:00","BZN|HR","42.27","42.27","42.27","38.80"
"02/01/2024 11:45:00 - 02/01/2024 12:00:00","BZN|HR","42.27","42.27","42.27","38.80"
"02/01/2024 12:00:00 - 02/01/2024 12:15:00","BZN|HR","38.83","38.83","38.83","36.00"
"02/01/2024 12:15:00 - 02/01/2024 12:30:00","BZN|HR","38.83","38.83","38.83","36.00"
"02/01/2024 12:30:00 - 02/01/2024 12:45:00","BZN|HR","38.83","38.83","38.83","36.80"
"02/01/2024 12:45:00 - 02/01/2024 13:00:00","BZN|HR","38.83","38.83","38.83","37.20"
