"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2025 00:00:00 - 01/01/2025 00:15:00","BZN|HU","Without Sequence","147.25","",""
"01/01/2025 00:15:00 - 01/01/2025 00:30:00","BZN|HU","Without Sequence","147.25","",""
"01/01/2025 00:30:00 - 01/01/2025 00:45:00","BZN|HU","Without Sequence","147.25","",""
"01/01/2025 00:45:00 - 01/01/2025 01:00:00","BZN|HU","Without Sequence","147.25","",""
"01/01/2025 01:00:00 - 01/01/2025 01:15:00","BZN|HU","Without Sequence","126.12","",""
"01/01/2025 01:15:00 - 01/01/2025 01:30:00","BZN|HU","Without Sequence","126.12","",""
"01/01/2025 01:30:00 - 01/01/2025 01:45:00","BZN|HU","Without Sequence","126.12","",""
"01/01/2025 01:45:00 - 01/01/2025 02:00:00","BZN|HU","Without Sequence","126.12","",""
"01/01/2025 02:00:00 - 01/01/2025 02:15:00","BZN|HU","Without Sequence","116.50","",""
"01/01/2025 02:15:00 - 01/01/2025 02:30:00","BZN|HU","Without Sequence","116.50","",""
"01/01/2025 02:30:00 - 01/01/2025 02:45:00","BZN|HU","Without Sequence","116.50","",""
"01/01/2025 02:45:00 - 01/01/2025 03:00:00","BZN|HU","Without Sequence","116.50","",""
"01/01/2025 03:00:00 - 01/01/2025 03:15:00","BZN|HU","Without Sequence","71.49","",""
"01/01/2025 03:15:00 - 01/01/2025 03:30:00","BZN|HU","Without Sequence","71.49","",""
"01/01/2025 03:30:00 - 01/01/2025 03:45:00","BZN|HU","Without Sequence","71.49","",""
"01/01/2025 03:45:00 - 01/01/2025 04:00:00","BZN|HU","Without Sequence","71.49","",""
"01/01/2025 04:00:00 - 01/01/2025 04:15:00","BZN|HU","Without Sequence","68.66","",""
"01/01/2025 04:15:00 - 01/01/2025 04:30:00","BZN|HU","Without Sequence","68.66","",""
"01/01/2025 04:30:00 - 01/01/2025 04:45:00","BZN|HU","Without Sequence","68.66","",""
"01/01/2025 04:45:00 - 01/01/2025 05:00:00","BZN|HU","Without Sequence","68.66","",""
"01/01/2025 05:00:00 - 01/01/2025 05:15:00","BZN|HU","Without Sequence","41.58","",""
"01/01/2025 05:15:00 - 01/01/2025 05:30:00","BZN|HU","Without Sequence","41.58","",""
"01/01/2025 05:30:00 - 01/01/2025 05:45:00","BZN|HU","Without Sequence","41.58","",""
"01/01/2025 05:45:00 - 01/01/2025 06:00:00","BZN|HU","Without Sequence","41.58","",""
"01/01/2025 06:00:00 - 01/01/2025 06:15:00","BZN|HU","Without Sequence","32.45","",""
"01/01/2025 06:15:00 - 01/01/2025 06:30:00","BZN|HU","Without Sequence","32.45","",""
"01/01/2025 06:30:00 - 01/01/2025 06:45:00","BZN|HU","Without Sequence","32.45","",""
"01/01/2025 06:45:00 - 01/01/2025 07:00:00","BZN|HU","Without Sequence","32.45","",""
"01/01/2025 07:00:00 - 01/01/2025 07:15:00","BZN|HU","Without Sequence","30.46","",""
"01/01/2025 07:15:00 - 01/01/2025 07:30:00","BZN|HU","Without Sequence","30.46","",""
"01/01/2025 07:30:00 - 01/01/2025 07:45:00","BZN|HU","Without Sequence","30.46","",""
"01/01/2025 07:45:00 - 01/01/2025 08:00:00","BZN|HU","Without Sequence","30.46","",""
"01/01/2025 08:00:00 - 01/01/2025 08:15:00","BZN|HU","Without Sequence","26.83","",""
"01/01/2025 08:15:00 - 01/01/2025 08:30:00","BZN|HU","Without Sequence","26.83","",""
"01/01/2025 08:30:00 - 01/01/2025 08:45:00","BZN|HU","Without Sequence","26.83","",""
