"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2024 12:45:00 - 01/01/2024 13:00:00","BZN|HU","99.92","105.03","99.34","105.45"
"01/01/2024 13:00:00 - 01/01/2024 13:15:00","BZN|HU","100.52","105.69","102.20","129.97"
"01/01/2024 13:15:00 - 01/01/2024 13:30:00","BZN|HU","99.63","107.78","98.27","128.11"
"01/01/2024 13:30:00 - 01/01/2024 13:45:00","BZN|HU","98.75","111.60","103.06","112.13"
"01/01/2024 13:45:00 - 01/01/2024 14:00:00","BZN|HU","97.87","114.57","107.85","94.91"
"01/01/2024 14:00:00 - 01/01/2024 14:15:00","BZN|HU","96.91","116.17","110.58","112.92"
"01/01/2024 14:15:00 - 01/01/2024 14:30:00","BZN|HU","95.89","115.87","101.15","136.11"
"01/01/2024 14:30:00 - 01/01/2024 14:45:00","BZN|HU","94.86","112.54","103.94","141.99"
"01/01/2024 14:45:00 - 01/01/2024 15:00:00","BZN|HU","93.83","111.59","106.74","148.99"
"01/01/2024 15:00:00 - 01/01/2024 15:15:00","BZN|HU","92.81","109.97","106.64","173.64"
"01/01/2024 15:15:00 - 01/01/2024 15:30:00","BZN|HU","91.79","106.36","121.17","147.49"
"01/01/2024 15:30:00 - 01/01/2024 15:45:00","BZN|HU","90.77","102.86","116.04","137.45"
"01/01/2024 15:45:00 - 01/01/2024 16:00:00","BZN|HU","89.75","97.67","110.92","131.74"
"01/01/2024 16:00:00 - 01/01/2024 16:15:00","BZN|HU","88.97","95.80","107.31","131.30"
"01/01/2024 16:15:00 - 01/01/2024 16:30:00","BZN|HU","88.43","95.05","108.05","135.53"
"01/01/2024 16:30:00 - 01/01/2024 16:45:00","BZN|HU","87.89","94.30","106.97","132.65"
"01/01/2024 16:45:00 - 01/01/2024 17:00:00","BZN|HU","87.35","101.04","105.83","135.81"
"01/01/2024 17:00:00 - 01/01/2024 17:15:00","BZN|HU","86.48","98.63","104.32","126.25"
"01/01/2024 17:15:00 - 01/01/2024 17:30:00","BZN|HU","85.26","95.91","108.86","107.77"
"01/01/2024 17:30:00 - 01/01/2024 17:45:00","BZN|HU","84.05","93.20","105.47","83.12"
"01/01/2024 17:45:00 - 01/01/2024 18:00:00","BZN|HU","82.84","95.29","102.43","82.44"
"01/01/2024 18:00:00 - 01/01/2024 18:15:00","BZN|HU","81.27","92.35","98.58","80.10"
"01/01/2024 18:15:00 - 01/01/2024 18:30:00","BZN|HU","79.34","93.12","74.63","77.28"
"01/01/2024 18:30:00 - 01/01/2024 18:45:00","BZN|HU","77.42","90.80","74.86","77.59"
"01/01/2024 18:45:00 - 01/01/2024 19:00:00","BZN|HU","75.49","91.96","75.09","85.66"
"01/01/2024 19:00:00 - 01/01/2024 19:15:00","BZN|HU","73.76","90.25","77.45","102.76"
"01/01/2024 19:15:00 - 01/01/2024 19:30:00","BZN|HU","72.22","90.50","72.68","117.78"
"01/01/2024 19:30:00 - 01/01/2024 19:45:00","BZN|HU","70.69","89.57","76.33","114.18"
"01/01/2024 19:45:00 - 01/01/2024 20:00:00","BZN|HU","69.15","78.27","78.39","110.68"
"01/01/2024 20:00:00 - 01/01/2024 20:15:00","BZN|HU","68.02","78.71","79.87","112.25"
"01/01/2024 20:15:00 - 01/01/2024 20:30:00","BZN|HU","67.28","78.70","96.93","122.17"
"01/01/2024 20:30:00 - 01/01/2024 20:45:00","BZN|HU","66.55","81.31","95.61","126.42"
"01/01/2024 20:45:00 - 01/01/2024 21:00:00","BZN|HU","65.82","78.03","94.28","125.31"
"01/01/2024 21:00:00 - 01/01/2024 21:15:00","BZN|HU","65.18","81.28","92.47","121.41"
"01/01/2024 21:15:00 - 01/01/2024 21:30:00","BZN|HU","64.62","79.87","106.31","108.15"
"01/01/2024 21:30:00 - 01/01/2024 21:45:00","BZN|HU","64.07","78.67","102.15","97.81"
"01/01/2024 21:45:00 - 01/01/2024 22:00:00","BZN|HU","63.51","85.56","97.98","95.73"
"01/01/2024 22:00:00 - 01/01/2024 22:15:00","BZN|HU","62.80","83.06","93.94","93.15"
"01/01/2024 22:15:00 - 01/01/2024 22:30:00","BZN|HU","61.93","80.36","75.62","82.71"
"01/01/2024 22:30:00 - 01/01/2024 22:45:00","BZN|HU","61.07","77.66","73.99","83.99"
"01/01/2024 22:45:00 - 01/01/2024 23:00:00","BZN|HU","60.20","82.19","72.36","95.10"
"01/01/2024 23:00:00 - 01/01/2024 23:15:00","BZN|HU","59.03","79.37","71.19","119.08"
"01/01/2024 23:15:00 - 01/01/2024 23:30:00","BZN|HU","57.54","77.66","72.38","129.39"
"01/01/2024 23:30:00 - 01/01/2024 23:45:00","BZN|HU","56.06","75.94","71.32","134.17"
"01/01/2024 23:45:00 - 02/01/2024 00:00:00","BZN|HU","54.57","69.08","71.73","135.84"
"02/01/2024 00:00:00 - 02/01/2024 00:15:00","BZN|HU","56.65","68.58","70.73","152.42"
"02/01/2024 00:15:00 - 02/01/2024 00:30:00","BZN|HU","54.85","68.29","108.57","143.84"
"02/01/2024 00:30:00 - 02/01/2024 00:45:00","BZN|HU","53.05","68.01","103.81","132.58"
"02/01/2024 00:45:00 - 02/01/2024 01:00:00","BZN|HU","51.26","67.84","99.06","116.79"
"02/01/2024 01:00:00 - 02/01/2024 01:15:00","BZN|HU","49.66","66.88","97.63","108.00"
"02/01/2024 01:15:00 - 02/01/2024 01:30:00","BZN|HU","48.25","64.12","101.07","105.16"
"02/01/2024 01:30:00 - 02/01/2024 01:45:00","BZN|HU","46.84","63.17","96.35","107.02"
"02/01/2024 01:45:00 - 02/01/2024 02:00:00","BZN|HU","45.43","82.99","91.63","93.38"
"02/01/2024 02:00:00 - 02/01/2024 02:15:00","BZN|HU","43.64","78.83","87.24","76.90"
"02/01/2024 02:15:00 - 02/01/2024 02:30:00","BZN|HU","41.45","74.42","86.27","70.86"
"02/01/2024 02:30:00 - 02/01/2024 02:45:00","BZN|HU","39.27","73.47","80.97","72.94"
"02/01/2024 02:45:00 - 02/01/2024 03:00:00","BZN|HU","37.08","74.29","75.67","65.47"
