"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2025 00:00:00 - 01/01/2025 00:15:00","BZN|HU","15.77","15.86","15.80","0.00"
"01/01/2025 00:15:00 - 01/01/2025 00:30:00","BZN|HU","15.67","15.66","15.68","0.00"
"01/01/2025 00:30:00 - 01/01/2025 00:45:00","BZN|HU","15.57","15.52","15.54","0.00"
"01/01/2025 00:45:00 - 01/01/2025 01:00:00","BZN|HU","15.48","15.34","15.37","0.00"
"01/01/2025 01:00:00 - 01/01/2025 01:15:00","BZN|HU","15.40","15.18","16.64","0.00"
"01/01/2025 01:15:00 - 01/01/2025 01:30:00","BZN|HU","15.31","15.03","16.56","0.00"
"01/01/2025 01:30:00 - 01/01/2025 01:45:00","BZN|HU","15.21","14.94","16.47","0.00"
"01/01/2025 01:45:00 - 01/01/2025 02:00:00","BZN|HU","15.11","14.84","16.36","0.00"
"01/01/2025 02:00:00 - 01/01/2025 02:15:00","BZN|HU","15.00","14.75","16.23","0.00"
"01/01/2025 02:15:00 - 01/01/2025 02:30:00","BZN|HU","14.88","14.65","16.14","0.00"
"01/01/2025 02:30:00 - 01/01/2025 02:45:00","BZN|HU","14.75","15.96","16.01","0.00"
"01/01/2025 02:45:00 - 01/01/2025 03:00:00","BZN|HU","14.61","15.77","15.82","0.00"
"01/01/2025 03:00:00 - 01/01/2025 03:15:00","BZN|HU","14.46","15.55","15.50","0.00"
"01/01/2025 03:15:00 - 01/01/2025 03:30:00","BZN|HU","14.32","15.31","15.34","0.00"
"01/01/2025 03:30:00 - 01/01/2025 03:45:00","BZN|HU","14.19","15.11","15.15","0.00"
"01/01/2025 03:45:00 - 01/01/2025 04:00:00","BZN|HU","14.07","14.85","14.89","0.00"
"01/01/2025 04:00:00 - 01/01/2025 04:15:00","BZN|HU","13.96","14.57","14.48","0.00"
"01/01/2025 04:15:00 - 01/01/2025 04:30:00","BZN|HU","13.87","14.32","14.32","0.01"
"01/01/2025 04:30:00 - 01/01/2025 04:45:00","BZN|HU","13.81","14.12","14.15","0.00"
"01/01/2025 04:45:00 - 01/01/2025 05:00:00","BZN|HU","13.76","13.90","13.93","0.00"
"01/01/2025 05:00:00 - 01/01/2025 05:15:00","BZN|HU","13.74","13.71","13.51","0.00"
"01/01/2025 05:15:00 - 01/01/2025 05:30:00","BZN|HU","13.74","13.54","13.40","0.00"
"01/01/2025 05:30:00 - 01/01/2025 05:45:00","BZN|HU","13.75","13.41","13.29","0.00"
"01/01/2025 05:45:00 - 01/01/2025 06:00:00","BZN|HU","13.77","13.29","13.17","0.00"
"01/01/2025 06:00:00 - 01/01/2025 06:15:00","BZN|HU","13.81","13.19","13.04","0.00"
"01/01/2025 06:15:00 - 01/01/2025 06:30:00","BZN|HU","13.84","13.09","12.99","0.00"
"01/01/2025 06:30:00 - 01/01/2025 06:45:00","BZN|HU","13.85","12.94","12.96","0.00"
"01/01/2025 06:45:00 - 01/01/2025 07:00:00","BZN|HU","13.85","12.90","12.92","0.00"
"01/01/2025 07:00:00 - 01/01/2025 07:15:00","BZN|HU","13.83","12.88","16.17","0.00"
"01/01/2025 07:15:00 - 01/01/2025 07:30:00","BZN|HU","13.79","12.86","16.11","0.00"
"01/01/2025 07:30:00 - 01/01/2025 07:45:00","BZN|HU","13.74","12.84","16.04","0.00"
"01/01/2025 07:45:00 - 01/01/2025 08:00:00","BZN|HU","13.68","12.82","15.95","0.00"
"01/01/2025 08:00:00 - 01/01/2025 08:15:00","BZN|HU","13.60","12.80","15.83","0.00"
"01/01/2025 08:15:00 - 01/01/2025 08:30:00","BZN|HU","13.53","12.76","15.75","0.00"
"01/01/2025 08:30:00 - 01/01/2025 08:45:00","BZN|HU","13.46","15.64","15.65","0.00"
"01/01/2025 08:45:00 - 01/01/2025 09:00:00","BZN|HU","13.40","15.50","15.50","0.00"
"01/01/2025 09:00:00 - 01/01/2025 09:15:00","BZN|HU","13.34","15.35","15.26","0.00"
"01/01/2025 09:15:00 - 01/01/2025 09:30:00","BZN|HU","13.31","15.17","15.13","0.00"
"01/01/2025 09:30:00 - 01/01/2025 09:45:00","BZN|HU","13.30","14.95","14.95","0.00"
"01/01/2025 09:45:00 - 01/01/2025 10:00:00","BZN|HU","13.32","14.71","14.71","0.00"
"01/01/2025 10:00:00 - 01/01/2025 10:15:00","BZN|HU","13.36","14.45","14.31","0.00"
"01/01/2025 10:15:00 - 01/01/2025 10:30:00","BZN|HU","13.44","14.21","14.16","0.00"
"01/01/2025 10:30:00 - 01/01/2025 10:45:00","BZN|HU","13.55","13.98","13.99","0.00"
"01/01/2025 10:45:00 - 01/01/2025 11:00:00","BZN|HU","13.70","13.78","13.79","0.00"
"01/01/2025 11:00:00 - 01/01/2025 11:15:00","BZN|HU","13.89","13.61","13.52","0.00"
"01/01/2025 11:15:00 - 01/01/2025 11:30:00","BZN|HU","14.09","13.47","13.44","0.00"
"01/01/2025 11:30:00 - 01/01/2025 11:45:00","BZN|HU","14.29","13.36","13.37","0.00"
"01/01/2025 11:45:00 - 01/01/2025 12:00:00","BZN|HU","14.51","13.30","13.30","0.00"
"01/01/2025 12:00:00 - 01/01/2025 12:15:00","BZN|HU","14.74","13.28","13.26","0.00"
"01/01/2025 12:15:00 - 01/01/2025 12:30:00","BZN|HU","14.98","13.33","13.31","0.00"
"01/01/2025 12:30:00 - 01/01/2025 12:45:00","BZN|HU","15.24","13.43","13.43","0.00"
"01/01/2025 12:45:00 - 01/01/2025 13:00:00","BZN|HU","15.51","13.62","13.61","0.00"
"01/01/2025 13:00:00 - 01/01/2025 13:15:00","BZN|HU","15.79","13.88","14.35","0.00"
"01/01/2025 13:15:00 - 01/01/2025 13:30:00","BZN|HU","16.09","14.21","14.60","0.00"
"01/01/2025 13:30:00 - 01/01/2025 13:45:00","BZN|HU","16.43","14.56","14.94","0.00"
"01/01/2025 13:45:00 - 01/01/2025 14:00:00","BZN|HU","16.79","15.01","15.41","0.00"
"01/01/2025 14:00:00 - 01/01/2025 14:15:00","BZN|HU","17.18","15.53","16.25","0.00"
"01/01/2025 14:15:00 - 01/01/2025 14:30:00","BZN|HU","17.62","16.15","16.73","0.00"
"01/01/2025 14:30:00 - 01/01/2025 14:45:00","BZN|HU","18.13","17.38","17.37","0.00"
"01/01/2025 14:45:00 - 01/01/2025 15:00:00","BZN|HU","18.69","18.28","18.25","0.00"
"01/01/2025 15:00:00 - 01/01/2025 15:15:00","BZN|HU","19.31","19.29","19.82","0.00"
"01/01/2025 15:15:00 - 01/01/2025 15:30:00","BZN|HU","19.99","20.43","20.61","0.00"
"01/01/2025 15:30:00 - 01/01/2025 15:45:00","BZN|HU","20.74","21.64","21.62","0.00"
"01/01/2025 15:45:00 - 01/01/2025 16:00:00","BZN|HU","21.54","23.04","22.99","0.00"
"01/01/2025 16:00:00 - 01/01/2025 16:15:00","BZN|HU","22.41","24.56","25.35","0.00"
"01/01/2025 16:15:00 - 01/01/2025 16:30:00","BZN|HU","23.33","26.13","26.38","0.00"
"01/01/2025 16:30:00 - 01/01/2025 16:45:00","BZN|HU","24.30","27.65","27.61","0.00"
"01/01/2025 16:45:00 - 01/01/2025 17:00:00","BZN|HU","25.33","29.30","29.24","0.00"
"01/01/2025 17:00:00 - 01/01/2025 17:15:00","BZN|HU","26.42","31.00","31.55","0.00"
"01/01/2025 17:15:00 - 01/01/2025 17:30:00","BZN|HU","27.52","32.66","33.23","0.00"
"01/01/2025 17:30:00 - 01/01/2025 17:45:00","BZN|HU","28.66","34.17","35.30","0.00"
"01/01/2025 17:45:00 - 01/01/2025 18:00:00","BZN|HU","29.82","35.75","38.10","0.00"
"01/01/2025 18:00:00 - 01/01/2025 18:15:00","BZN|HU","31.01","37.30","42.76","0.00"
"01/01/2025 18:15:00 - 01/01/2025 18:30:00","BZN|HU","32.22","38.81","44.65","0.00"
"01/01/2025 18:30:00 - 01/01/2025 18:45:00","BZN|HU","33.45","46.85","46.82","0.00"
"01/01/2025 18:45:00 - 01/01/2025 19:00:00","BZN|HU","34.71","49.68","49.63","0.00"
"01/01/2025 19:00:00 - 01/01/2025 19:15:00","BZN|HU","35.99","52.46","54.64","0.03"
"01/01/2025 19:15:00 - 01/01/2025 19:30:00","BZN|HU","37.24","54.98","56.12","0.01"
"01/01/2025 19:30:00 - 01/01/2025 19:45:00","BZN|HU","38.45","57.13","57.66","0.00"
"01/01/2025 19:45:00 - 01/01/2025 20:00:00","BZN|HU","39.64","59.10","59.52","0.00"
"01/01/2025 20:00:00 - 01/01/2025 20:15:00","BZN|HU","40.79","60.80","62.02","0.00"
"01/01/2025 20:15:00 - 01/01/2025 20:30:00","BZN|HU","41.95","62.22","62.72","0.00"
"01/01/2025 20:30:00 - 01/01/2025 20:45:00","BZN|HU","43.12","63.35","63.33","0.00"
"01/01/2025 20:45:00 - 01/01/2025 21:00:00","BZN|HU","44.29","63.99","63.97","0.00"
"01/01/2025 21:00:00 - 01/01/2025 21:15:00","BZN|HU","45.47","64.32","64.48","0.00"
"01/01/2025 21:15:00 - 01/01/2025 21:30:00","BZN|HU","46.63","64.37","64.39","0.00"
"01/01/2025 21:30:00 - 01/01/2025 21:45:00","BZN|HU","47.77","64.11","64.10","0.00"
"01/01/2025 21:45:00 - 01/01/2025 22:00:00","BZN|HU","48.89","63.60","63.59","0.03"
"01/01/2025 22:00:00 - 01/01/2025 22:15:00","BZN|HU","49.99","62.81","62.35","0.07"
"01/01/2025 22:15:00 - 01/01/2025 22:30:00","BZN|HU","51.10","61.89","61.68","0.25"
"01/01/2025 22:30:00 - 01/01/2025 22:45:00","BZN|HU","52.22","60.80","60.80","0.41"
"01/01/2025 22:45:00 - 01/01/2025 23:00:00","BZN|HU","53.34","59.59","59.59","0.40"
"01/01/2025 23:00:00 - 01/01/2025 23:15:00","BZN|HU","54.48","58.24","57.47","0.21"
"01/01/2025 23:15:00 - 01/01/2025 23:30:00","BZN|HU","55.59","56.96","56.65","0.17"
"01/01/2025 23:30:00 - 01/01/2025 23:45:00","BZN|HU","56.69","55.72","55.73","0.06"
"01/01/2025 23:45:00 - 02/01/2025 00:00:00","BZN|HU","57.77","54.55","54.55","0.00"
"02/01/2025 00:00:00 - 02/01/2025 00:15:00","BZN|HU","49.24","53.44","52.81","0.00"
"02/01/2025 00:15:00 - 02/01/2025 00:30:00","BZN|HU","49.39","52.53","52.30","0.01"
