"MTU (CET/CEST)","Area","Generation Forecast (MW)","Actual Generation (MW)","Scheduled Consumption (MW)"
"01/01/2024 14:00:00 - 01/01/2024 14:15:00","BZN|HU","3467.02","3601.64"," "
"01/01/2024 14:15:00 - 01/01/2024 14:30:00","BZN|HU","3353.34","3497.58"," "
"01/01/2024 14:30:00 - 01/01/2024 14:45:00","BZN|HU","3257.87","3360.32"," "
"01/01/2024 14:45:00 - 01/01/2024 15:00:00","BZN|HU","3121.01","3243.06"," "
"01/01/2024 15:00:00 - 01/01/2024 15:15:00","BZN|HU","3030.73","3171.34"," "
"01/01/2024 15:15:00 - 01/01/2024 15:30:00","BZN|HU","2954.92","3083.51"," "
"01/01/2024 15:30:00 - 01/01/2024 15:45:00","BZN|HU","2889.85","3012.64"," "
"01/01/2024 15:45:00 - 01/01/2024 16:00:00","BZN|HU","2837.95","3003.15"," "
"01/01/2024 16:00:00 - 01/01/2024 16:15:00","BZN|HU","2830.75","2933.07"," "
"01/01/2024 16:15:00 - 01/01/2024 16:30:00","BZN|HU","2807.41","2932.35"," "
"01/01/2024 16:30:00 - 01/01/2024 16:45:00","BZN|HU","2806.25","2990.85"," "
"01/01/2024 16:45:00 - 01/01/2024 17:00:00","BZN|HU","2820.81","3005.93"," "
"01/01/2024 17:00:00 - 01/01/2024 17:15:00","BZN|HU","2781.17","2961.60"," "
"01/01/2024 17:15:00 - 01/01/2024 17:30:00","BZN|HU","2782.23","2928.78"," "
"01/01/2024 17:30:00 - 01/01/2024 17:45:00","BZN|HU","2806.89","2920.54"," "
"01/01/2024 17:45:00 - 01/01/2024 18:00:00","BZN|HU","2795.35","2926.33"," "
"01/01/2024 18:00:00 - 01/01/2024 18:15:00","BZN|HU","2771.18","2895.22"," "
"01/01/2024 18:15:00 - 01/01/2024 18:30:00","BZN|HU","2804.59","2900.27"," "
"01/01/2024 18:30:00 - 01/01/2024 18:45:00","BZN|HU","2794.08","2907.21"," "
"01/01/2024 18:45:00 - 01/01/2024 19:00:00","BZN|HU","2760.39","2898.33"," "
"01/01/2024 19:00:00 - 01/01/2024 19:15:00","BZN|HU","2775.12","2939.15"," "
"01/01/2024 19:15:00 - 01/01/2024 19:30:00","BZN|HU","2762.48","2936.35"," "
"01/01/2024 19:30:00 - 01/01/2024 19:45:00","BZN|HU","2754.54","2923.86"," "
"01/01/2024 19:45:00 - 01/01/2024 20:00:00","BZN|HU","2746.72","2917.79"," "
"01/01/2024 20:00:00 - 01/01/2024 20:15:00","BZN|HU","2739.12","2915.85"," "
"01/01/2024 20:15:00 - 01/01/2024 20:30:00","BZN|HU","2737.70","2913.71"," "
"01/01/2024 20:30:00 - 01/01/2024 20:45:00","BZN|HU","2730.19","2912.46"," "
"01/01/2024 20:45:00 - 01/01/2024 21:00:00","BZN|HU","2721.60","2895.30"," "
"01/01/2024 21:00:00 - 01/01/2024 21:15:00","BZN|HU","2718.76","2901.71"," "
"01/01/2024 21:15:00 - 01/01/2024 21:30:00","BZN|HU","2718.39","2904.78"," "
"01/01/2024 21:30:00 - 01/01/2024 21:45:00","BZN|HU","2717.90","2920.82"," "
"01/01/2024 21:45:00 - 01/01/2024 22:00:00","BZN|HU","2717.50","2900.43"," "
"01/01/2024 22:00:00 - 01/01/2024 22:15:00","BZN|HU","2715.03","2905.55"," "
"01/01/2024 22:15:00 - 01/01/2024 22:30:00","BZN|HU","2715.08","2889.69"," "
"01/01/2024 22:30:00 - 01/01/2024 22:45:00","BZN|HU","2717.97","2896.69"," "
"01/01/2024 22:45:00 - 01/01/2024 23:00:00","BZN|HU","2724.65","2900.88"," "
"01/01/2024 23:00:00 - 01/01/2024 23:15:00","BZN|HU","2716.31","2941.55"," "
"01/01/2024 23:15:00 - 01/01/2024 23:30:00","BZN|HU","2715.83","2945.91"," "
"01/01/2024 23:30:00 - 01/01/2024 23:45:00","BZN|HU","2715.45","2948.87"," "
"01/01/2024 23:45:00 - 02/01/2024 00:00:00","BZN|HU","2714.86","2937.13"," "
"02/01/2024 00:00:00 - 02/01/2024 00:15:00","BZN|HU","2713.52","2874.97"," "
"02/01/2024 00:15:00 - 02/01/2024 00:30:00","BZN|HU","2712.81","2833.98"," "
"02/01/2024 00:30:00 - 02/01/2024 00:45:00","BZN|HU","2712.33","2845.83"," "
"02/01/2024 00:45:00 - 02/01/2024 01:00:00","BZN|HU","2712.14","2857.52"," "
"02/01/2024 01:00:00 - 02/01/2024 01:15:00","BZN|HU","2700.86","2862.64"," "
"02/01/2024 01:15:00 - 02/01/2024 01:30:00","BZN|HU","2700.29","2839.58"," "
"02/01/2024 01:30:00 - 02/01/2024 01:45:00","BZN|HU","2698.14","2852.34"," "
"02/01/2024 01:45:00 - 02/01/2024 02:00:00","BZN|HU","2694.25","2820.02"," "
"02/01/2024 02:00:00 - 02/01/2024 02:15:00","BZN|HU","2682.54","2814.54"," "
"02/01/2024 02:15:00 - 02/01/2024 02:30:00","BZN|HU","2681.58","2852.36"," "
"02/01/2024 02:30:00 - 02/01/2024 02:45:00","BZN|HU","2679.42","2850.26"," "
"02/01/2024 02:45:00 - 02/01/2024 03:00:00","BZN|HU","2678.30","2838.01"," "
"02/01/2024 03:00:00 - 02/01/2024 03:15:00","BZN|HU","2672.01","2836.66"," "
"02/01/2024 03:15:00 - 02/01/2024 03:30:00","BZN|HU","2672.28","2827.76"," "
"02/01/2024 03:30:00 - 02/01/2024 03:45:00","BZN|HU","2671.95","2834.26"," "
"02/01/2024 03:45:00 - 02/01/2024 04:00:00","BZN|HU","2672.39","2828.84"," "
"02/01/2024 04:00:00 - 02/01/2024 04:15:00","BZN|HU","2670.96","2826.90"," "
"02/01/2024 04:15:00 - 02/01/2024 04:30:00","BZN|HU","2672.27","2822.84"," "
"02/01/2024 04:30:00 - 02/01/2024 04:45:00","BZN|HU","2672.19","2810.94"," "
"02/01/2024 04:45:00 - 02/01/2024 05:00:00","BZN|HU","2672.91","2808.14"," "
"02/01/2024 05:00:00 - 02/01/2024 05:15:00","BZN|HU","2680.81","2820.30"," "
"02/01/2024 05:15:00 - 02/01/2024 05:30:00","BZN|HU","2683.22","2815.07"," "
"02/01/2024 05:30:00 - 02/01/2024 05:45:00","BZN|HU","2688.74","2832.63"," "
"02/01/2024 05:45:00 - 02/01/2024 06:00:00","BZN|HU","2692.80","2841.33"," "
"02/01/2024 06:00:00 - 02/01/2024 06:15:00","BZN|HU","2715.90","2857.97"," "
"02/01/2024 06:15:00 - 02/01/2024 06:30:00","BZN|HU","2714.88","2876.62"," "
"02/01/2024 06:30:00 - 02/01/2024 06:45:00","BZN|HU","2718.92","2899.16"," "
"02/01/2024 06:45:00 - 02/01/2024 07:00:00","BZN|HU","2754.69","2929.30"," "
"02/01/2024 07:00:00 - 02/01/2024 07:15:00","BZN|HU","2743.23","2912.96"," "
"02/01/2024 07:15:00 - 02/01/2024 07:30:00","BZN|HU","2776.65","2853.56"," "
"02/01/2024 07:30:00 - 02/01/2024 07:45:00","BZN|HU","2775.99","2899.96"," "
"02/01/2024 07:45:00 - 02/01/2024 08:00:00","BZN|HU","2801.55","3026.90"," "
"02/01/2024 08:00:00 - 02/01/2024 08:15:00","BZN|HU","2885.22","3111.54"," "
"02/01/2024 08:15:00 - 02/01/2024 08:30:00","BZN|HU","2980.54","3223.59"," "
"02/01/2024 08:30:00 - 02/01/2024 08:45:00","BZN|HU","3018.03","3373.08"," "
"02/01/2024 08:45:00 - 02/01/2024 09:00:00","BZN|HU","3125.97","3515.58"," "
"02/01/2024 09:00:00 - 02/01/2024 09:15:00","BZN|HU","3340.55","3714.61"," "
"02/01/2024 09:15:00 - 02/01/2024 09:30:00","BZN|HU","3421.14","3863.13"," "
"02/01/2024 09:30:00 - 02/01/2024 09:45:00","BZN|HU","3478.11","3944.39"," "
"02/01/2024 09:45:00 - 02/01/2024 10:00:00","BZN|HU","3582.28","3995.44"," "
"02/01/2024 10:00:00 - 02/01/2024 10:15:00","BZN|HU","3712.34","4123.46"," "
"02/01/2024 10:15:00 - 02/01/2024 10:30:00","BZN|HU","3766.33","4196.07"," "
"02/01/2024 10:30:00 - 02/01/2024 10:45:00","BZN|HU","3824.04","4221.12"," "
"02/01/2024 10:45:00 - 02/01/2024 11:00:00","BZN|HU","3831.83","4236.38"," "
"02/01/2024 11:00:00 - 02/01/2024 11:15:00","BZN|HU","3853.36","4261.96"," "
"02/01/2024 11:15:00 - 02/01/2024 11:30:00","BZN|HU","3833.45","4272.97"," "
"02/01/2024 11:30:00 - 02/01/2024 11:45:00","BZN|HU","3833.75","4218.08"," "
"02/01/2024 11:45:00 - 02/01/2024 12:00:00","BZN|HU","3849.04","4154.23"," "
