"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2024 00:00:00 - 01/01/2024 00:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 00:15:00 - 01/01/2024 00:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 00:30:00 - 01/01/2024 00:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 00:45:00 - 01/01/2024 01:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 01:00:00 - 01/01/2024 01:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 01:15:00 - 01/01/2024 01:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 01:30:00 - 01/01/2024 01:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 01:45:00 - 01/01/2024 02:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 02:00:00 - 01/01/2024 02:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 02:15:00 - 01/01/2024 02:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 02:30:00 - 01/01/2024 02:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 02:45:00 - 01/01/2024 03:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 03:00:00 - 01/01/2024 03:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 03:15:00 - 01/01/2024 03:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 03:30:00 - 01/01/2024 03:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 03:45:00 - 01/01/2024 04:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 04:00:00 - 01/01/2024 04:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 04:15:00 - 01/01/2024 04:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 04:30:00 - 01/01/2024 04:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 04:45:00 - 01/01/2024 05:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 05:00:00 - 01/01/2024 05:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 05:15:00 - 01/01/2024 05:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 05:30:00 - 01/01/2024 05:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 05:45:00 - 01/01/2024 06:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 06:00:00 - 01/01/2024 06:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 06:15:00 - 01/01/2024 06:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 06:30:00 - 01/01/2024 06:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 06:45:00 - 01/01/2024 07:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 07:00:00 - 01/01/2024 07:15:00","BZN|HU","1.59","0.96","0.86","0.00"
"01/01/2024 07:15:00 - 01/01/2024 07:30:00","BZN|HU","5.38","2.83","0.00","0.01"
"01/01/2024 07:30:00 - 01/01/2024 07:45:00","BZN|HU","10.85","6.19","4.05","0.40"
"01/01/2024 07:45:00 - 01/01/2024 08:00:00","BZN|HU","19.00","12.22","12.33","4.08"
"01/01/2024 08:00:00 - 01/01/2024 08:15:00","BZN|HU","30.31","23.82","23.87","16.47"
"01/01/2024 08:15:00 - 01/01/2024 08:30:00","BZN|HU","43.85","38.95","32.74","32.30"
"01/01/2024 08:30:00 - 01/01/2024 08:45:00","BZN|HU","60.46","60.34","52.53","62.60"
"01/01/2024 08:45:00 - 01/01/2024 09:00:00","BZN|HU","81.56","81.08","80.31","87.73"
"01/01/2024 09:00:00 - 01/01/2024 09:15:00","BZN|HU","108.17","116.83","116.80","120.75"
"01/01/2024 09:15:00 - 01/01/2024 09:30:00","BZN|HU","139.76","163.22","169.54","161.38"
"01/01/2024 09:30:00 - 01/01/2024 09:45:00","BZN|HU","176.07","217.64","221.32","213.47"
"01/01/2024 09:45:00 - 01/01/2024 10:00:00","BZN|HU","217.07","275.11","275.83","296.48"
"01/01/2024 10:00:00 - 01/01/2024 10:15:00","BZN|HU","263.26","333.41","333.41","329.80"
"01/01/2024 10:15:00 - 01/01/2024 10:30:00","BZN|HU","315.71","394.84","397.84","402.03"
"01/01/2024 10:30:00 - 01/01/2024 10:45:00","BZN|HU","372.40","458.66","460.50","505.39"
"01/01/2024 10:45:00 - 01/01/2024 11:00:00","BZN|HU","430.59","522.89","523.25","611.78"
"01/01/2024 11:00:00 - 01/01/2024 11:15:00","BZN|HU","489.45","587.07","587.07","688.85"
"01/01/2024 11:15:00 - 01/01/2024 11:30:00","BZN|HU","552.59","654.07","715.98","678.25"
"01/01/2024 11:30:00 - 01/01/2024 11:45:00","BZN|HU","615.69","720.25","782.85","772.76"
"01/01/2024 11:45:00 - 01/01/2024 12:00:00","BZN|HU","672.21","780.13","843.18","688.69"
"01/01/2024 12:00:00 - 01/01/2024 12:15:00","BZN|HU","718.70","831.93","891.91","823.83"
"01/01/2024 12:15:00 - 01/01/2024 12:30:00","BZN|HU","760.64","882.55","968.02","878.03"
"01/01/2024 12:30:00 - 01/01/2024 12:45:00","BZN|HU","793.65","923.93","1020.18","924.43"
"01/01/2024 12:45:00 - 01/01/2024 13:00:00","BZN|HU","810.16","979.89","1020.18","919.31"
"01/01/2024 13:00:00 - 01/01/2024 13:15:00","BZN|HU","803.98","964.33","1003.73","967.21"
"01/01/2024 13:15:00 - 01/01/2024 13:30:00","BZN|HU","776.75","912.75","941.77","998.22"
"01/01/2024 13:30:00 - 01/01/2024 13:45:00","BZN|HU","732.31","839.57","873.37","946.91"
"01/01/2024 13:45:00 - 01/01/2024 14:00:00","BZN|HU","674.08","757.02","792.30","853.43"
"01/01/2024 14:00:00 - 01/01/2024 14:15:00","BZN|HU","601.45","690.06","694.78","726.50"
"01/01/2024 14:15:00 - 01/01/2024 14:30:00","BZN|HU","506.44","569.01","542.32","600.27"
"01/01/2024 14:30:00 - 01/01/2024 14:45:00","BZN|HU","401.05","442.22","423.28","448.25"
"01/01/2024 14:45:00 - 01/01/2024 15:00:00","BZN|HU","302.40","322.33","318.70","316.29"
"01/01/2024 15:00:00 - 01/01/2024 15:15:00","BZN|HU","222.71","228.62","228.71","203.78"
"01/01/2024 15:15:00 - 01/01/2024 15:30:00","BZN|HU","154.55","153.41","154.52","125.88"
"01/01/2024 15:30:00 - 01/01/2024 15:45:00","BZN|HU","96.31","92.77","93.36","59.25"
"01/01/2024 15:45:00 - 01/01/2024 16:00:00","BZN|HU","50.03","45.72","45.83","17.85"
"01/01/2024 16:00:00 - 01/01/2024 16:15:00","BZN|HU","18.62","13.55","13.55","1.69"
"01/01/2024 16:15:00 - 01/01/2024 16:30:00","BZN|HU","4.28","0.75","13.58","0.04"
"01/01/2024 16:30:00 - 01/01/2024 16:45:00","BZN|HU","0.96","0.00","6.89","0.01"
"01/01/2024 16:45:00 - 01/01/2024 17:00:00","BZN|HU","0.89","0.00","1.93","0.00"
"01/01/2024 17:00:00 - 01/01/2024 17:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 17:15:00 - 01/01/2024 17:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 17:30:00 - 01/01/2024 17:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 17:45:00 - 01/01/2024 18:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 18:00:00 - 01/01/2024 18:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 18:15:00 - 01/01/2024 18:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 18:30:00 - 01/01/2024 18:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 18:45:00 - 01/01/2024 19:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 19:00:00 - 01/01/2024 19:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 19:15:00 - 01/01/2024 19:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 19:30:00 - 01/01/2024 19:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 19:45:00 - 01/01/2024 20:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 20:00:00 - 01/01/2024 20:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 20:15:00 - 01/01/2024 20:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 20:30:00 - 01/01/2024 20:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 20:45:00 - 01/01/2024 21:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 21:00:00 - 01/01/2024 21:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 21:15:00 - 01/01/2024 21:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 21:30:00 - 01/01/2024 21:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 21:45:00 - 01/01/2024 22:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 22:00:00 - 01/01/2024 22:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 22:15:00 - 01/01/2024 22:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 22:30:00 - 01/01/2024 22:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 22:45:00 - 01/01/2024 23:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 23:00:00 - 01/01/2024 23:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2024 23:15:00 - 01/01/2024 23:30:00","BZN|HU","0.00","0.00","0.00","0.00"
