"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2023 12:45:00 - 01/01/2023 13:00:00","BZN|HU","715.92","772.53","772.53","705.91"
"01/01/2023 13:00:00 - 01/01/2023 13:15:00","BZN|HU","664.00","720.56","720.56","665.83"
"01/01/2023 13:15:00 - 01/01/2023 13:30:00","BZN|HU","599.81","653.13","653.13","660.00"
"01/01/2023 13:30:00 - 01/01/2023 13:45:00","BZN|HU","528.29","584.52","584.52","609.71"
"01/01/2023 13:45:00 - 01/01/2023 14:00:00","BZN|HU","456.15","517.69","517.69","558.37"
"01/01/2023 14:00:00 - 01/01/2023 14:15:00","BZN|HU","387.37","439.08","439.08","487.78"
"01/01/2023 14:15:00 - 01/01/2023 14:30:00","BZN|HU","317.28","357.73","357.73","406.16"
"01/01/2023 14:30:00 - 01/01/2023 14:45:00","BZN|HU","248.56","284.00","284.00","316.47"
"01/01/2023 14:45:00 - 01/01/2023 15:00:00","BZN|HU","186.51","217.89","217.89","229.19"
"01/01/2023 15:00:00 - 01/01/2023 15:15:00","BZN|HU","134.97","157.49","157.49","160.51"
"01/01/2023 15:15:00 - 01/01/2023 15:30:00","BZN|HU","91.81","104.34","104.34","107.83"
"01/01/2023 15:30:00 - 01/01/2023 15:45:00","BZN|HU","56.23","61.09","61.09","49.64"
"01/01/2023 15:45:00 - 01/01/2023 16:00:00","BZN|HU","28.41","27.76","27.76","16.29"
"01/01/2023 16:00:00 - 01/01/2023 16:15:00","BZN|HU","9.41","11.84","11.84","2.50"
"01/01/2023 16:15:00 - 01/01/2023 16:30:00","BZN|HU","1.14","7.79","7.79","0.05"
"01/01/2023 16:30:00 - 01/01/2023 16:45:00","BZN|HU","0.00","3.97","3.97","0.00"
"01/01/2023 16:45:00 - 01/01/2023 17:00:00","BZN|HU","0.00","1.14","1.14","0.01"
"01/01/2023 17:00:00 - 01/01/2023 17:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 17:15:00 - 01/01/2023 17:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 17:30:00 - 01/01/2023 17:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 17:45:00 - 01/01/2023 18:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 18:00:00 - 01/01/2023 18:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 18:15:00 - 01/01/2023 18:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 18:30:00 - 01/01/2023 18:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 18:45:00 - 01/01/2023 19:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 19:00:00 - 01/01/2023 19:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 19:15:00 - 01/01/2023 19:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 19:30:00 - 01/01/2023 19:45:00","BZN|HU","0.00","0.00","0.00","0.01"
"01/01/2023 19:45:00 - 01/01/2023 20:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 20:00:00 - 01/01/2023 20:15:00","BZN|HU","0.00","0.00","0.00","0.01"
"01/01/2023 20:15:00 - 01/01/2023 20:30:00","BZN|HU","0.00","0.00","0.00","0.01"
"01/01/2023 20:30:00 - 01/01/2023 20:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 20:45:00 - 01/01/2023 21:00:00","BZN|HU","0.00","0.00","0.00","0.01"
"01/01/2023 21:00:00 - 01/01/2023 21:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 21:15:00 - 01/01/2023 21:30:00","BZN|HU","0.00","0.00","0.00","0.01"
"01/01/2023 21:30:00 - 01/01/2023 21:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 21:45:00 - 01/01/2023 22:00:00","BZN|HU","0.00","0.00","0.00","0.01"
"01/01/2023 22:00:00 - 01/01/2023 22:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 22:15:00 - 01/01/2023 22:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 22:30:00 - 01/01/2023 22:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 22:45:00 - 01/01/2023 23:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 23:00:00 - 01/01/2023 23:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 23:15:00 - 01/01/2023 23:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 23:30:00 - 01/01/2023 23:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"01/01/2023 23:45:00 - 02/01/2023 00:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 00:00:00 - 02/01/2023 00:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 00:15:00 - 02/01/2023 00:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 00:30:00 - 02/01/2023 00:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 00:45:00 - 02/01/2023 01:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 01:00:00 - 02/01/2023 01:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 01:15:00 - 02/01/2023 01:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 01:30:00 - 02/01/2023 01:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 01:45:00 - 02/01/2023 02:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 02:00:00 - 02/01/2023 02:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 02:15:00 - 02/01/2023 02:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 02:30:00 - 02/01/2023 02:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 02:45:00 - 02/01/2023 03:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 03:00:00 - 02/01/2023 03:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 03:15:00 - 02/01/2023 03:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 03:30:00 - 02/01/2023 03:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 03:45:00 - 02/01/2023 04:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 04:00:00 - 02/01/2023 04:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 04:15:00 - 02/01/2023 04:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 04:30:00 - 02/01/2023 04:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 04:45:00 - 02/01/2023 05:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 05:00:00 - 02/01/2023 05:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 05:15:00 - 02/01/2023 05:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 05:30:00 - 02/01/2023 05:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 05:45:00 - 02/01/2023 06:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 06:00:00 - 02/01/2023 06:15:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 06:15:00 - 02/01/2023 06:30:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 06:30:00 - 02/01/2023 06:45:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 06:45:00 - 02/01/2023 07:00:00","BZN|HU","0.00","0.00","0.00","0.00"
"02/01/2023 07:00:00 - 02/01/2023 07:15:00","BZN|HU","3.93","0.00","0.00","0.10"
"02/01/2023 07:15:00 - 02/01/2023 07:30:00","BZN|HU","12.68","2.57","2.57","2.46"
"02/01/2023 07:30:00 - 02/01/2023 07:45:00","BZN|HU","26.32","17.66","17.66","16.16"
"02/01/2023 07:45:00 - 02/01/2023 08:00:00","BZN|HU","49.62","43.58","43.58","47.05"
"02/01/2023 08:00:00 - 02/01/2023 08:15:00","BZN|HU","87.05","87.11","87.11","83.78"
"02/01/2023 08:15:00 - 02/01/2023 08:30:00","BZN|HU","138.86","142.94","142.94","129.80"
"02/01/2023 08:30:00 - 02/01/2023 08:45:00","BZN|HU","200.22","202.00","202.00","193.76"
"02/01/2023 08:45:00 - 02/01/2023 09:00:00","BZN|HU","265.72","264.30","264.30","251.32"
"02/01/2023 09:00:00 - 02/01/2023 09:15:00","BZN|HU","332.79","338.59","338.59","302.53"
"02/01/2023 09:15:00 - 02/01/2023 09:30:00","BZN|HU","406.57","417.88","417.88","367.60"
"02/01/2023 09:30:00 - 02/01/2023 09:45:00","BZN|HU","482.28","489.87","489.87","420.65"
"02/01/2023 09:45:00 - 02/01/2023 10:00:00","BZN|HU","552.14","554.58","554.58","491.98"
"02/01/2023 10:00:00 - 02/01/2023 10:15:00","BZN|HU","610.31","613.15","613.15","537.45"
"02/01/2023 10:15:00 - 02/01/2023 10:30:00","BZN|HU","659.62","664.65","664.65","576.24"
"02/01/2023 10:30:00 - 02/01/2023 10:45:00","BZN|HU","701.86","698.71","698.71","728.80"
"02/01/2023 10:45:00 - 02/01/2023 11:00:00","BZN|HU","737.59","733.63","733.63","806.42"
"02/01/2023 11:00:00 - 02/01/2023 11:15:00","BZN|HU","767.63","755.85","755.85","826.44"
"02/01/2023 11:15:00 - 02/01/2023 11:30:00","BZN|HU","792.72","767.94","767.94","831.44"
"02/01/2023 11:30:00 - 02/01/2023 11:45:00","BZN|HU","810.99","750.34","750.34","842.71"
"02/01/2023 11:45:00 - 02/01/2023 12:00:00","BZN|HU","820.02","750.56","750.56","816.32"
"02/01/2023 12:00:00 - 02/01/2023 12:15:00","BZN|HU","817.99","702.51","702.51","831.34"
"02/01/2023 12:15:00 - 02/01/2023 12:30:00","BZN|HU","805.72","702.51","702.51","844.25"
"02/01/2023 12:30:00 - 02/01/2023 12:45:00","BZN|HU","783.87","701.31","701.31","796.61"
"02/01/2023 12:45:00 - 02/01/2023 13:00:00","BZN|HU","752.75","682.09","682.09","698.41"
"02/01/2023 13:00:00 - 02/01/2023 13:15:00","BZN|HU","711.89","640.89","640.89","676.42"
"02/01/2023 13:15:00 - 02/01/2023 13:30:00","BZN|HU","659.64","593.96","593.96","624.77"
"02/01/2023 13:30:00 - 02/01/2023 13:45:00","BZN|HU","598.82","542.97","542.97","576.01"
"02/01/2023 13:45:00 - 02/01/2023 14:00:00","BZN|HU","533.35","487.33","487.33","504.90"
"02/01/2023 14:00:00 - 02/01/2023 14:15:00","BZN|HU","464.59","419.83","419.83","450.11"
"02/01/2023 14:15:00 - 02/01/2023 14:30:00","BZN|HU","387.76","346.51","346.51","367.37"
