method,rmse_mean,diff_mean,ci_low,ci_high,p_value,effect_size_d,p_corrected,significant,improvement_%
Synth LGBM,24.3095,-4.9031,-5.9441,-3.8622,2.80e-08,-2.422,8.41e-08,True,16.78
Spline,24.5389,-4.6737,-5.923,-3.4245,6.20e-07,-1.924,1.24e-06,True,16.0
Intra,24.6083,-4.6043,-5.8782,-3.3304,9.66e-07,-1.858,1.24e-06,True,15.76
