method,rmse_mean,diff_mean,ci_low,ci_high,p_value,effect_size_d,p_corrected,significant,improvement_%
Synth LGBM,22.0596,-3.8995,-4.517,-3.2821,4.15e-10,-3.247,1.24e-09,True,15.02
Spline,22.4105,-3.5487,-4.1961,-2.9012,3.28e-09,-2.818,3.30e-09,True,13.67
Intra,22.8325,-3.1266,-3.6707,-2.5826,1.65e-09,-2.955,3.30e-09,True,12.04
