method,rmse_mean,diff_mean,ci_low,ci_high,p_value,effect_size_d,p_corrected,significant,improvement_%
Synth LGBM,22.6425,-5.5433,-6.3296,-4.757,8.07e-11,-3.625,2.42e-10,True,19.67
Spline,22.9349,-5.2509,-6.0934,-4.4083,5.05e-10,-3.204,1.01e-09,True,18.63
Intra,23.4435,-4.7423,-5.5606,-3.924,1.46e-09,-2.98,1.46e-09,True,16.83
