method,mae_mean,diff_mean,ci_low,ci_high,p_value,effect_size_d,p_corrected,significant,improvement_%
Synth LGBM,17.4376,-2.5529,-3.2604,-1.8454,9.88e-07,-1.855,2.96e-06,True,12.77
Spline,17.5717,-2.4188,-3.2646,-1.573,1.65e-05,-1.47,3.29e-05,True,12.1
Intra,17.7293,-2.2612,-3.1176,-1.4048,4.01e-05,-1.358,4.01e-05,True,11.31
