method,mae_mean,diff_mean,ci_low,ci_high,p_value,effect_size_d,p_corrected,significant,improvement_%
Synth LGBM,16.9963,-2.7574,-4.4967,-1.0181,3.98e-03,-0.815,3.98e-03,True,13.96
Spline,15.7716,-3.9821,-5.0022,-2.9621,3.56e-07,-2.007,1.07e-06,True,20.16
Intra,15.5835,-4.1702,-5.5689,-2.7715,1.02e-05,-1.533,2.04e-05,True,21.11
