method,mae_mean,diff_mean,ci_low,ci_high,p_value,effect_size_d,p_corrected,significant,improvement_%
Synth LGBM,15.2912,-3.4451,-4.2358,-2.6545,8.19e-08,-2.24,1.01e-07,True,18.39
Spline,15.1403,-3.596,-4.3925,-2.7994,5.04e-08,-2.321,1.01e-07,True,19.19
Intra,15.1159,-3.6204,-4.3827,-2.8581,2.50e-08,-2.442,7.50e-08,True,19.32
