feature,mean_abs_shap
last_y,1.878017202918373
lag_1_t0,2.8872733364989895
lag_4_t0,1.1639918671921012
lag_8_t0,0.7161311651668465
lag_24_t0,0.35121890320441995
lag_96_t0,13.63990924775303
lag_192_t0,3.5985590944007546
lag_672_t0,7.60008895296804
ramp_1h_t0,0.5140426993899139
ramp_6h_t0,0.9144729166065285
ramp_1d_t0,2.2674200354238314
roll_mean_24_t0,1.4261546748903773
roll_mean_96_t0,0.4965978132632617
roll_mean_672_t0,0.5419565647329627
roll_std_24_t0,0.7644689666371595
roll_std_96_t0,0.7445116785095734
roll_std_672_t0,0.5054453073616194
h,0.6054336766566945
q_in_hour_target,0.16158514892022385
qod_target,0.5249736708685891
hod_target,0.0731445150397604
dow_target,3.643949117976882
month_target,0.3237818649055377
is_weekend_target,0.44885537485766186
load_fc_target,7.794188728873731
load_ramp_1h_target,0.651884015152997
load_ramp_6h_target,3.046720829144168
generation_fc,1.8177783963565421
renewables_solar_fc,6.6553856194409855
renewables_wind_fc,1.7680302392871583
load_day_mean,0.8725305225055844
load_day_max,1.676509843204625
load_day_min,0.8387330844655344
q_in_hour_sin,0.20245040842239645
q_in_hour_cos,0.05213381636273265
qod_sin,0.37734938836629406
qod_cos,0.4887689763068011
hod_sin,0.09316407004399514
hod_cos,0.12403560769206136
dow_sin,0.7177829623688619
dow_cos,0.5725663384276706
month_sin,0.7371331896249068
month_cos,0.9128981758737486
daily_weight_lag_1d,0.5987897846780904
daily_weight_lag_2d,0.3952846937520541
daily_weight_lag_1w,0.5087947987825582
hour_weight_lag_1d,0.15719011262357746
hour_weight_lag_2d,0.1748887770969608
hour_weight_lag_1w,0.2767613401865227
daily_avg_weight_lag_1d,0.4536034377278346
daily_avg_weight_lag_2d,0.13569538905477263
daily_avg_weight_lag_1w,0.4173005526264695
hour_avg_weight_lag_1d,0.062421906075699495
hour_avg_weight_lag_2d,0.4452939882121093
hour_avg_weight_lag_1w,0.461827034650343
