"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2025 00:00:00 - 01/01/2025 00:15:00","BZN|HR","76.26","78.36","78.36","34.80"
"01/01/2025 00:15:00 - 01/01/2025 00:30:00","BZN|HR","77.26","69.36","69.36","33.60"
"01/01/2025 00:30:00 - 01/01/2025 00:45:00","BZN|HR","75.56","66.66","66.66","36.40"
"01/01/2025 00:45:00 - 01/01/2025 01:00:00","BZN|HR","76.26","67.36","67.36","42.40"
"01/01/2025 01:00:00 - 01/01/2025 01:15:00","BZN|HR","75.47","70.57","70.57","56.00"
"01/01/2025 01:15:00 - 01/01/2025 01:30:00","BZN|HR","75.87","69.97","69.97","68.80"
"01/01/2025 01:30:00 - 01/01/2025 01:45:00","BZN|HR","75.67","69.77","69.77","75.20"
"01/01/2025 01:45:00 - 01/01/2025 02:00:00","BZN|HR","75.47","69.57","69.57","76.40"
"01/01/2025 02:00:00 - 01/01/2025 02:15:00","BZN|HR","84.05","85.05","85.05","75.60"
"01/01/2025 02:15:00 - 01/01/2025 02:30:00","BZN|HR","84.05","83.85","83.85","80.40"
"01/01/2025 02:30:00 - 01/01/2025 02:45:00","BZN|HR","83.35","83.35","83.35","87.60"
"01/01/2025 02:45:00 - 01/01/2025 03:00:00","BZN|HR","82.95","82.95","82.95","94.00"
"01/01/2025 03:00:00 - 01/01/2025 03:15:00","BZN|HR","91.61","92.61","92.61","95.20"
"01/01/2025 03:15:00 - 01/01/2025 03:30:00","BZN|HR","91.21","91.21","91.21","100.40"
"01/01/2025 03:30:00 - 01/01/2025 03:45:00","BZN|HR","91.11","91.11","91.11","103.20"
"01/01/2025 03:45:00 - 01/01/2025 04:00:00","BZN|HR","91.11","91.11","91.11","102.80"
"01/01/2025 04:00:00 - 01/01/2025 04:15:00","BZN|HR","100.83","100.83","100.83","103.20"
"01/01/2025 04:15:00 - 01/01/2025 04:30:00","BZN|HR","100.83","100.83","100.83","107.60"
"01/01/2025 04:30:00 - 01/01/2025 04:45:00","BZN|HR","100.83","101.83","101.83","106.80"
"01/01/2025 04:45:00 - 01/01/2025 05:00:00","BZN|HR","101.83","101.83","101.83","105.60"
"01/01/2025 05:00:00 - 01/01/2025 05:15:00","BZN|HR","110.56","109.86","109.86","103.20"
"01/01/2025 05:15:00 - 01/01/2025 05:30:00","BZN|HR","110.56","110.56","110.56","101.20"
"01/01/2025 05:30:00 - 01/01/2025 05:45:00","BZN|HR","111.56","112.56","112.56","102.00"
"01/01/2025 05:45:00 - 01/01/2025 06:00:00","BZN|HR","111.56","112.56","112.56","103.60"
"01/01/2025 06:00:00 - 01/01/2025 06:15:00","BZN|HR","110.16","110.16","110.16","107.20"
"01/01/2025 06:15:00 - 01/01/2025 06:30:00","BZN|HR","110.16","110.16","110.16","105.20"
"01/01/2025 06:30:00 - 01/01/2025 06:45:00","BZN|HR","110.16","110.16","110.16","101.20"
"01/01/2025 06:45:00 - 01/01/2025 07:00:00","BZN|HR","110.76","110.76","110.76","100.80"
"01/01/2025 07:00:00 - 01/01/2025 07:15:00","BZN|HR","121.87","121.47","121.47","103.20"
"01/01/2025 07:15:00 - 01/01/2025 07:30:00","BZN|HR","121.87","121.47","121.47","101.60"
"01/01/2025 07:30:00 - 01/01/2025 07:45:00","BZN|HR","121.97","121.97","121.97","100.40"
"01/01/2025 07:45:00 - 01/01/2025 08:00:00","BZN|HR","121.97","122.07","122.07","101.20"
"01/01/2025 08:00:00 - 01/01/2025 08:15:00","BZN|HR","128.66","128.69","128.69","95.60"
"01/01/2025 08:15:00 - 01/01/2025 08:30:00","BZN|HR","127.89","127.69","127.69","93.60"
"01/01/2025 08:30:00 - 01/01/2025 08:45:00","BZN|HR","127.84","127.67","127.67","88.80"
"01/01/2025 08:45:00 - 01/01/2025 09:00:00","BZN|HR","127.82","127.44","127.44","90.00"
"01/01/2025 09:00:00 - 01/01/2025 09:15:00","BZN|HR","140.96","141.40","141.40","91.20"
"01/01/2025 09:15:00 - 01/01/2025 09:30:00","BZN|HR","140.64","140.66","140.66","89.60"
"01/01/2025 09:30:00 - 01/01/2025 09:45:00","BZN|HR","140.12","139.35","139.35","87.20"
"01/01/2025 09:45:00 - 01/01/2025 10:00:00","BZN|HR","140.01","139.23","139.22","88.00"
"01/01/2025 10:00:00 - 01/01/2025 10:15:00","BZN|HR","150.79","150.81","151.22","88.00"
"01/01/2025 10:15:00 - 01/01/2025 10:30:00","BZN|HR","150.78","150.00","150.40","89.60"
"01/01/2025 10:30:00 - 01/01/2025 10:45:00","BZN|HR","149.97","149.60","149.99","70.80"
"01/01/2025 10:45:00 - 01/01/2025 11:00:00","BZN|HR","149.57","149.38","149.78","67.20"
"01/01/2025 11:00:00 - 01/01/2025 11:15:00","BZN|HR","158.83","158.83","158.83","62.80"
"01/01/2025 11:15:00 - 01/01/2025 11:30:00","BZN|HR","158.82","158.83","158.83","68.40"
"01/01/2025 11:30:00 - 01/01/2025 11:45:00","BZN|HR","157.92","157.93","157.93","81.20"
"01/01/2025 11:45:00 - 01/01/2025 12:00:00","BZN|HR","157.92","157.52","157.52","68.80"
"01/01/2025 12:00:00 - 01/01/2025 12:15:00","BZN|HR","163.81","163.81","196.11","69.20"
"01/01/2025 12:15:00 - 01/01/2025 12:30:00","BZN|HR","163.81","163.01","197.91","73.60"
"01/01/2025 12:30:00 - 01/01/2025 12:45:00","BZN|HR","163.01","163.01","195.31","90.40"
"01/01/2025 12:45:00 - 01/01/2025 13:00:00","BZN|HR","162.91","162.31","194.61","99.20"
